closed_from,closed_to
54790,75245
125387,125390
317304,317306
47799,47798
13738,13736
218664,218645
9457,9822
145765,145772
1421,1420
44771,44769
301547,297679
54477,54476
31043,31041
41115,72828
102137,102176
175956,175954
318581,318589
178586,178584
2832,2796
64750,64751
147178,147171
273506,273505
31814,31813
7961,7958
46381,46382
170397,170417
299300,299295
28045,28293
143952,143961
272927,272926
7809,7808
131288,131284
274740,274739
297619,297613
1709,1712
35810,27368
3797,3914
129007,128874
44210,44208
296534,296532
291141,291126
277207,277206
170688,170687
43386,43383
65392,65393
170891,170892
121757,121755
20076,20073
167152,167153
20680,20283
