query_id,source,target
0001,235512,309186
0002,235513,309186
0003,235515,311604
0004,235514,308945
0005,235513,308951
0006,235516,308871
0007,235516,308869
0008,235513,311604
0009,235517,308868
0010,235514,308867
0011,235513,309187
0012,235515,312052
0013,235517,308951
0014,235513,311499
0015,235515,308946
0016,235513,308871
0017,235516,308868
0018,235515,311602
0019,235516,308867
0020,235513,308868
0021,235513,311602
0022,236527,308951
0023,235514,308946
0024,235378,311602
0025,235378,311499
0026,236527,308867
0027,235514,311604
0028,235515,308945
0029,235512,308867
0030,235508,309186
