closed_from,closed_to
155025,155024
208381,208380
107825,107725
107837,107836
184306,184303
67452,67455
431168,431167
182443,182442
2790,2789
333547,333253
219112,219113
378937,378938
176320,178710
176089,176092
143901,143847
124523,121543
99605,99606
106214,106213
418602,418901
27218,27955
150468,150466
399633,399634
378840,378841
129177,129205
10265,10273
147187,147188
73500,73543
42528,42513
10946,10945
292733,292734
107882,107837
68557,68556
74009,73913
219212,226698
73207,73211
69752,69762
354858,354859
185053,188304
2963,2926
361637,361656
63867,54361
340913,340980
399379,399344
129512,129414
9072,9073
114991,114992
184301,184303
417253,417254
329414,329415
365551,365552
