query_id,source,target
0001,335244,58370
0002,13113,388787
0003,144195,128394
0004,117027,73159
0005,386124,53737
0006,354786,388324
0007,285930,45581
0008,309589,221209
0009,16664,15623
0010,49124,114630
0011,121982,264952
0012,315632,13913
0013,294255,104249
0014,375401,340727
0015,367697,285707
0016,219950,115575
0017,235515,308945
0018,145853,424375
0019,3408,397834
0020,422482,83708
0021,366027,221572
0022,178390,145685
0023,81517,112887
0024,400291,176473
0025,53588,48626
0026,199192,50708
0027,188209,180332
0028,316527,138686
0029,423168,22781
0030,382590,240871
0031,281138,65445
0032,198462,41314
0033,289429,153710
0034,434847,329589
0035,324283,189601
0036,302699,100815
0037,369399,36467
0038,24026,346693
0039,119485,405311
0040,151723,41834
0041,122050,52954
0042,199296,145739
0043,237718,333282
0044,191278,85278
0045,194082,186265
0046,109843,351365
0047,139974,367956
0048,358376,339758
0049,37436,319361
0050,332912,89726
0051,280044,382273
0052,128352,85670
0053,242358,198944
0054,141531,335545
0055,360796,292003
0056,115142,358936
0057,170018,402818
0058,406848,29328
0059,120088,430862
0060,16830,422076
0061,165389,210326
0062,140374,34702
0063,110616,297366
0064,376394,164982
0065,111478,343639
0066,261741,207426
0067,337040,240571
0068,74906,138874
0069,73207,129304
0070,390589,294319
0071,282580,137753
0072,391651,306492
0073,224623,305940
0074,209401,189791
0075,114988,72526
0076,267139,258745
0077,47663,396248
0078,24703,57488
0079,80133,328963
0080,83877,415278
0081,356769,221334
0082,312691,33307
0083,201729,200079
0084,312418,245393
0085,277409,131814
0086,290050,6020
0087,356665,377866
0088,60059,357413
0089,281528,393677
0090,139894,402968
0091,336049,178350
0092,58486,153879
0093,227943,82921
0094,237882,1702
0095,378585,377320
0096,138092,262452
0097,399488,93666
0098,266172,55790
0099,327838,156472
0100,334994,266162
