closed_from,closed_to
4872,4927
11064,11066
14187,14186
18230,18174
23667,23662
23789,23768
23935,23932
24028,25152
25152,24028
27631,28449
28641,28642
29099,29096
37164,37203
39523,39525
41559,41563
41566,41563
41923,41919
41929,41923
44796,44765
46519,46523
48629,48626
48764,48766
48766,48764
49759,49768
53464,53478
53482,53478
53498,53474
53660,53662
53670,53669
56911,64380
57484,57486
60350,60054
64164,64242
71211,71213
103406,105583
106822,106823
107880,33081
108042,33522
111420,111418
127086,127203
130463,130450
134674,134678
189419,189423
190616,190814
192381,192484
224205,224225
230774,230776
253223,253224
257191,257189
260007,259954
