query_id,source,target
0001,138960,221847
0002,138969,221847
0003,138970,221847
0004,138967,221846
0005,138967,221864
0006,138967,221879
0007,138960,221846
0008,138960,221864
0009,138960,221879
0010,138969,221846
0011,138969,221864
0012,138969,221879
0013,138970,221846
0014,138970,221864
0015,138970,221879
0016,138897,221847
0017,138968,221847
0018,138971,221847
0019,138967,221835
0020,138967,221865
0021,138967,221852
0022,138967,221880
0023,138897,221835
0024,138897,221865
0025,138897,221852
0026,138897,221880
0027,138968,221835
0028,138968,221865
0029,138968,221852
0030,138968,221880
