dataset,query_id,objective_count,before_status,after_status,before_paths,after_paths,before_search_seconds,after_search_seconds,before_total_seconds,after_total_seconds,before_peak_rss_mb,after_peak_rss_mb,before_labels,after_labels,merged,before_order,after_order,reference_kind,before_empirical_epsilon,after_empirical_epsilon
BAY,0001,2,epsilon_cover,epsilon_cover,4,4,0.008615634,0.010895778,1.108968319,1.130839564,68,68,1,1,0,21345,21345,exact,0.0531263127919861,0.0531263127919861
BAY,0001,3,epsilon_cover,epsilon_cover,10,10,0.113890357,0.022865604,1.234894059,1.201392902,76,70,177254,28784,5321,21345,21345,pooled_empirical,0.10403397027600847,0.10403397027600847
BAY,0001,5,epsilon_cover,epsilon_cover,9,9,2.519198609,0.038752992,4.18677157,1.463618278,136,71,839042,40538,8094,21345,21345,pooled_empirical,0.13669064748201443,0.13669064748201443
BAY,0002,2,epsilon_cover,epsilon_cover,4,4,0.006436042,0.010429255,0.950317008,1.056593281,68,68,1,1,0,21345,21345,exact,0.010978743931887358,0.010978743931887358
BAY,0002,3,epsilon_cover,epsilon_cover,8,8,0.005557467,0.010362264,1.033482715,1.177365091,68,69,130,119,11,21345,21345,pooled_empirical,0.0,0.0
BAY,0002,5,epsilon_cover,epsilon_cover,10,10,0.014059342,0.010199048,1.597613012,1.157840436,68,68,14516,4051,570,21345,21345,pooled_empirical,0.0,0.0
BAY,0003,2,epsilon_cover,epsilon_cover,4,4,0.006216043,0.00928573,1.102039259,1.256369053,68,69,1,1,0,21345,21345,exact,0.011242938356530674,0.011242938356530674
BAY,0003,3,epsilon_cover,epsilon_cover,9,10,1.276377702,0.15427647,2.483542972,1.575746373,192,105,1454256,160921,39784,21345,21345,pooled_empirical,0.13752913752913742,0.0
BAY,0003,5,time_limit,epsilon_cover,10,12,30.00637973,0.306442006,31.3637488,1.877306895,565,144,5792836,267686,77991,21345,21345,pooled_empirical,0.2218060024656987,0.0
BAY,0004,2,epsilon_cover,epsilon_cover,7,7,0.006173279,0.010177355,1.823633456,1.848966998,68,68,1,1,0,21345,21345,exact,0.05534999723759082,0.05534999723759082
BAY,0004,3,epsilon_cover,epsilon_cover,12,12,0.005920556,0.010346402,1.573025992,1.626245213,68,69,2287,1364,255,21345,21345,pooled_empirical,0.0,0.0
BAY,0004,5,time_limit,epsilon_cover,13,14,30.0000796,0.090599688,32.24150016,1.936015272,560,85,5021790,102845,24510,21345,21345,pooled_empirical,0.11151736745886653,0.02733370658232559
BAY,0005,2,epsilon_cover,epsilon_cover,4,4,0.005558572,0.010316502,1.662091253,1.947129762,68,69,1,1,0,21345,21345,exact,0.021855765912971004,0.021855765912971004
BAY,0005,3,epsilon_cover,epsilon_cover,10,11,2.060208537,0.127725168,3.757665006,2.171990125,192,103,2066275,148932,38052,21345,21345,pooled_empirical,0.11567572575028229,0.0
BAY,0005,5,time_limit,epsilon_cover,11,37,30.00509319,0.760630061,31.67378658,2.765427501,532,199,5432336,632495,209282,21345,21345,pooled_empirical,0.15421398684997012,0.0
BAY,0006,2,epsilon_cover,epsilon_cover,3,3,0.005511164,0.010813758,1.183384475,1.20533233,69,69,1,1,0,21345,21345,exact,0.03792032909229093,0.03792032909229093
BAY,0006,3,epsilon_cover,epsilon_cover,8,8,0.008635386,0.009916522,1.466845659,1.254278598,68,68,313,221,25,21345,21345,pooled_empirical,0.0,0.0
BAY,0006,5,epsilon_cover,epsilon_cover,10,10,0.00734547,0.009796597,1.227993112,1.20240825,68,68,3120,981,140,21345,21345,pooled_empirical,0.0,0.0
BAY,0007,2,epsilon_cover,epsilon_cover,3,3,0.008281663,0.009284233,1.050504145,1.054098444,68,69,1,1,0,21345,21345,exact,0.05492992814967623,0.05492992814967623
BAY,0007,3,epsilon_cover,epsilon_cover,10,11,0.158923719,0.030940807,1.489217213,1.184924467,76,70,179467,31864,15079,21345,21345,pooled_empirical,0.05101294415998292,0.001948369364716207
BAY,0007,5,time_limit,epsilon_cover,10,21,30.00676985,0.155034688,31.17978229,1.476439974,556,102,4547314,131213,63106,21345,21345,pooled_empirical,0.1885964912280702,0.043242167991399905
BAY,0008,2,epsilon_cover,epsilon_cover,2,2,0.00665753,0.013198075,1.060367219,1.079034001,68,68,1,1,0,21345,21345,exact,0.022499756465134357,0.022499756465134357
BAY,0008,3,epsilon_cover,epsilon_cover,7,7,0.008025006,0.011706892,1.160022355,1.191702117,69,68,712,602,74,21345,21345,pooled_empirical,0.0,0.0
BAY,0008,5,epsilon_cover,epsilon_cover,10,10,0.017689728,0.015401554,1.125510101,1.369872763,69,69,30609,7099,1681,21345,21345,pooled_empirical,0.06451612903225801,0.054421768707483054
BAY,0009,2,epsilon_cover,epsilon_cover,5,5,0.008037403,0.011004406,1.861447767,1.793248372,68,68,1,1,0,21345,21345,exact,0.015648149936249522,0.015648149936249522
BAY,0009,3,epsilon_cover,epsilon_cover,11,11,0.026172628,0.018068487,2.100807556,1.858984184,69,68,40562,11963,2286,21345,21345,pooled_empirical,0.0,0.0
BAY,0009,5,time_limit,epsilon_cover,12,19,30.00309636,2.152696094,31.85513067,3.899836207,570,312,4683483,1460524,403585,21345,21345,pooled_empirical,0.16658100079717753,0.0
BAY,0010,2,epsilon_cover,epsilon_cover,5,5,0.006047771,0.010091692,1.405072047,1.453486727,68,68,1,1,0,21345,21345,exact,0.009525499133425264,0.009525499133425264
BAY,0010,3,epsilon_cover,epsilon_cover,9,9,0.007983966,0.00934752,1.937450994,1.681530312,68,68,1,1,0,21345,21345,pooled_empirical,0.0,0.0
BAY,0010,5,epsilon_cover,epsilon_cover,11,11,0.004855269,0.009912338,1.471163957,1.751261826,68,69,1,1,0,21345,21345,pooled_empirical,0.0,0.0
BAY,0011,2,epsilon_cover,epsilon_cover,4,4,0.005449444,0.011462525,1.16505001,1.366058818,68,68,1,1,0,21345,21345,exact,0.025215777029806485,0.025215777029806485
BAY,0011,3,epsilon_cover,epsilon_cover,9,9,0.007744334,0.009132637,1.612901716,1.194127976,68,68,1,1,0,21345,21345,pooled_empirical,0.0,0.0
BAY,0011,5,epsilon_cover,epsilon_cover,10,10,0.454302492,0.035388446,1.750899437,1.523581165,99,71,353977,39675,9983,21345,21345,pooled_empirical,0.0,0.0
BAY,0012,2,epsilon_cover,epsilon_cover,3,3,0.00545739,0.009576071,1.949849276,1.894707125,69,69,1,1,0,21345,21345,exact,0.05863725554050103,0.05863725554050103
BAY,0012,3,time_limit,epsilon_cover,9,9,30.00219902,2.221842498,32.3548009,3.991670855,532,312,5764014,1279094,288641,21345,21345,pooled_empirical,0.0,0.0
BAY,0012,5,time_limit,epsilon_cover,11,23,30.00058059,12.03250977,32.32247546,14.12344957,341,1055,4072646,4327684,1414196,21345,21345,pooled_empirical,0.17877094972067042,0.0
BAY,0013,2,epsilon_cover,epsilon_cover,6,6,0.006251516,0.009945273,1.371440558,1.58218776,68,68,1,1,0,21345,21345,exact,0.013195011901801168,0.013195011901801168
BAY,0013,3,epsilon_cover,epsilon_cover,11,11,6.195407397,0.285757296,7.945675157,1.972289888,304,144,3593663,268804,66717,21345,21345,pooled_empirical,0.0,0.0
BAY,0013,5,time_limit,epsilon_cover,11,33,30.00259648,1.311692974,31.74511665,3.041723188,570,199,4292187,712880,224506,21345,21345,pooled_empirical,0.1554126731557086,0.0
BAY,0014,2,epsilon_cover,epsilon_cover,5,5,0.005666003,0.00939569,1.255931182,1.25485472,68,69,1,1,0,21345,21345,exact,0.053945431023430634,0.053945431023430634
BAY,0014,3,epsilon_cover,epsilon_cover,10,10,0.094285336,0.018075828,1.432315739,1.49993542,75,69,163234,20799,4867,21345,21345,pooled_empirical,0.0,0.0
