dataset,query_id,source,target,scheme,network_state,feasible,c1,c2,c3,c4,c5,path
NY,0001,300,169952,time_priority,original,True,720728,826108,1268,2156,403,300->298->210->209->205->196->202->181->4503->4502->4739->4735->4733->4730->4725->4724->4723->4701->4700->4643->4642->4641->4670->4659->4658->4660->4662->4663->4668->4669->4667->4846->4849->4885->4871->4870->4872->4927->260094->263808->263807->260312->260100->260082->260081->260076->260075->260074->261196->260022->260018->260009->260008->260007->259954->259950->259949->259923->259921->259922->259926->259927->259928->259899->259925->259932->259935->259934->260201->256138->256137->256132->256131->256130->256136->256135->255465->255462->255461->255460->255507->255506->255505->255508->255504->255499->248309->248308->248388->248381->248380->248313->248312->248310->248306->248280->248271->248268->248262->248259->248237->248233->248218->248222->247169->236467->236466->247140->247138->247137->247135->246983->246976->252480->252485->252484->252487->252489->252490->252516->252517->252533->252531->251910->251906->251905->251913->252748->235624->235623->252328->235626->235625->252329->252323->252322->252321->252306->252305->252304->252408->252362->252370->252368->252373->252374->252387->252389->252388->252385->252384->252386->252399->253404->253403->250982->253406->253397->253396->253400->253399->262185->262202->253431->253430->253509->253508->253512->253511->253518->253519->253523->134124->134123->134127->134126->138703->138704->138705->138706->138740->138739->139573->138742->132601->138741->138715->138714->138717->138716->138718->134132->134131->138719->138720->138721->138812->138814->138816->138817->138819->138821->138823->138352->138351->138825->138841->139568->139570->139569->138938->138937->138942->138940->138939->138953->138996->139080->139079->139098->139218->139219->139333->139283->139292->139359->139507->139508->139534->139533->139535->139536->200474->200547->200459->200460->200589->200590->214835->200591->200592->198812->200628->200629->200621->200627->214838->201293->201294->201300->214897->201489->201490->201606->201607->201608->201609->201612->201613->201615->201627->201628->201800->209733->209734->209735->209744->209753->209754->209869->205427->205428->209890->209891->198934->198935->202260->209895->205558->205559->213876->213877->213880->213881->213888->213907->213908->213910->213911->213912->194968->194969->214712->214713->214223->214221->214220->162590->162582->162581->161325->161313->161312->161348->161315->161316->210504->210503->196645->196646->205335->210509->198809->196815->210542->199718->213822->214400->211927->199739->199712->198810->198596->198595->214458->214457->214459->214528->214266->214265->212039->207842->207843->214315->214316->212327->212330->214317->207787->207786->215185->215184->212326->212325->212342->212346->212360->207890->207897->212361->212365->212367->161408->161407->161406->161405->161404->164589->160146->160147->164867->164866->164914->164941->164940->164911->164910->164950->164973->164974->164969->165703->165730->165733->165734->165754->165753->165752->165751->165759->165765->165767->165770->165772->165771->165810->169723->169724->169729->169731->169786->169821->169769->169763->169762->169823->169775->169844->169849->169854->169855->169858->169851->169952
NY,0001,300,169952,time_priority,disrupted,True,694193,970197,1056,2302,399,300->298->210->211->212->213->214->266->267->269->282->280->286->1596->1604->1605->1606->1608->1602->1600->1601->1626->1627->1625->1628->1634->1815->1816->1818->1831->1832->1844->1845->67->1765->1846->1824->1797->1787->1775->1761->5526->5514->5510->5507->5484->5487->5486->5629->5612->5611->4147->5616->5596->5592->5581->5579->5578->5538->5537->5536->260611->260610->260609->260603->260602->260601->257182->257185->257179->257226->257228->257232->257214->257222->257220->257218->257215->257216->257246->257201->257202->257200->257195->257197->257196->256747->256746->256735->256733->256729->256700->256701->256802->256798->256781->256780->256773->256483->256479->256476->256436->256435->256431->256261->256258->256247->256241->256215->256213->255665->255674->255673->255666->255647->255618->255617->255616->255612->255611->255591->255590->255817->255713->255712->255717->255710->255731->255693->255694->255762->254750->254278->261438->254280->254279->254269->254268->254520->254516->254360->254359->254363->254337->254391->253216->253211->253209->253202->253204->253203->253223->253225->253229->253224->253181->253182->253185->253176->253733->253730->253635->253636->253653->253642->253641->253644->253647->253646->253649->253648->253686->253685->253700->134147->134146->137186->134138->134135->134134->134133->134123->134127->134126->138703->138704->138705->138706->138740->138739->139573->138742->132601->138741->138715->138714->138717->138716->138718->134132->134131->138719->138720->138721->138812->138814->138816->138817->138819->138821->138823->138352->138351->138825->138841->139568->139570->139569->138938->138937->138942->138940->138939->138953->138996->139080->139079->139098->139218->139219->139333->139283->139292->139359->139507->139508->139534->139533->139535->139536->200474->200547->200459->200460->200589->200590->214835->200591->200592->198812->200628->200629->200621->200627->214838->201293->201294->201300->214897->201489->201490->201606->201607->201608->201609->201612->201613->201615->201627->201628->201800->209733->209734->209735->209744->209753->209754->209869->205427->205428->209890->209891->198934->198935->202260->209895->205558->205559->213876->213877->213880->213881->213888->213907->213908->213910->213911->213912->194968->194969->214712->214713->214223->214221->214220->162590->162582->162581->161325->161313->161312->161348->161315->161316->210504->210503->196645->196646->205335->210509->198809->196815->210542->199718->213822->214400->211927->199739->199712->198810->198596->198595->214458->214457->214459->214528->214266->214265->212039->212041->212043->214272->164148->164147->164149->164166->164491->161364->161365->161357->161373->161368->164543->164541->164580->164578->164579->161410->161403->161404->164589->160146->160147->164867->164866->164914->164941->164940->164911->164910->164950->164973->164974->164969->164968->164971->164972->165738->165736->165744->165745->169705->169723->169724->169729->169731->169786->169821->169769->169763->169762->169823->169775->169844->169849->169854->169855->169858->169851->169952
NY,0001,300,169952,stable_priority,original,True,689486,949413,1056,2342,406,300->298->210->211->212->213->214->266->267->269->282->280->286->1596->1604->1605->1606->1608->1602->1600->1601->1626->1627->1625->1628->1634->1815->1816->1818->1831->1832->1844->1845->67->1765->1846->1824->1797->1787->1775->1761->5526->5514->5510->5507->5484->5487->5486->5629->5612->5611->4147->5616->5596->5592->5581->5579->5578->5538->5537->5536->260611->260610->260604->260605->260607->260601->257182->257185->257179->257226->257224->257213->257211->257212->257191->257189->257190->256721->256722->256723->256720->256740->256731->256730->256732->256733->256729->256700->256701->256802->256798->256781->256780->256773->256483->256479->256476->256436->256435->256431->256261->256258->256247->256241->256215->256213->255665->255674->255673->255666->255647->255618->255617->255616->255612->255611->255591->255590->255817->255713->255712->255717->255710->255731->255693->255694->255762->254750->254278->261438->254280->254279->254269->254268->254520->254516->254360->254359->254363->254337->254391->253216->253211->253209->253202->253204->253203->253223->253224->253181->253182->253185->253176->253733->253730->253635->253636->253653->253642->253641->253644->253647->253646->253649->253648->253686->253685->253700->134147->134146->137186->134138->134135->134134->134133->134123->134127->134126->138703->138704->138705->138706->138740->138739->139573->138742->132601->138741->138715->138714->138717->138716->138718->134132->134131->138719->138720->138721->138812->138814->138816->138817->138819->138821->138823->138352->138351->138825->138841->139568->139570->139569->138938->138937->138942->138940->138939->138953->138996->139080->139079->139098->139218->139219->139333->139283->139292->139359->139507->139508->139534->139533->139535->139536->200474->200547->200459->200460->200589->200590->214835->200591->200592->198812->200628->200629->200621->200627->214838->201293->201294->201300->214897->201489->201490->201606->201607->201608->201609->201612->201613->201615->201627->201628->201800->209733->209734->209735->209744->209753->209754->209869->205427->205428->209890->209891->198934->198935->202260->209895->205558->205559->213876->213877->213880->213881->213888->213907->213908->213910->213911->213912->194968->194969->214712->214713->214223->214221->214220->162590->162582->162581->161325->161313->161312->161348->161315->161316->210504->210503->196645->196646->205335->210509->198809->196815->210542->199718->213822->214400->211927->199739->199712->198810->198596->198595->214458->214457->214459->214528->214266->214265->212039->212041->212043->214272->164148->164150->164484->164483->164485->164492->164491->161364->161365->161357->161373->161368->161369->164531->161393->161394->161395->164581->164534->161411->161410->161403->161404->164589->160146->160147->164867->164866->164914->164941->164940->164911->164910->164950->164973->164974->164969->165703->165730->165733->165734->165754->165753->165752->165751->165759->165765->165767->165770->165772->165771->165810->169723->169724->169729->169731->169786->169821->169769->169763->169762->169823->169775->169844->169849->169854->169839->169838->169953->169952
NY,0001,300,169952,stable_priority,disrupted,True,699320,1064206,1004,2300,395,300->298->210->211->212->213->214->266->267->269->282->280->286->1596->1604->1605->1606->1608->1602->1600->1601->1626->1627->1625->1628->1634->1815->1816->1818->1831->1832->1844->1845->67->1765->1846->1824->1797->1787->1775->1761->5526->5514->5510->5507->5484->5487->5486->5629->5612->5611->4147->5616->5596->5592->5581->5579->5578->5538->5537->5536->260611->260610->260604->260605->260607->260608->257268->257181->257229->257230->257228->257232->257214->257222->257220->257218->257215->257216->257246->257201->257202->257200->257195->257197->257196->256747->256746->256735->256733->256729->256700->256701->256802->256798->256781->256780->256773->256483->256479->256476->256436->256435->256431->256261->256258->256247->256241->256215->256213->255665->255674->255673->255666->255647->255618->255617->255616->255612->255611->255591->255590->255817->255713->255712->255717->255710->255731->255693->255694->255762->254750->254278->261438->254280->254279->254269->254268->254520->254516->254360->254359->254363->254337->254391->253216->253210->253214->253227->253228->253225->253229->253224->253181->253182->253185->253176->253733->253730->253635->253636->253653->253642->253641->253644->253647->253646->253649->253648->253686->253685->253700->134147->134146->137186->134138->134135->134134->134133->134123->134127->134126->138703->138704->138705->138706->138740->138739->139573->138742->132601->138741->138715->138714->138717->138716->138718->134132->134131->138719->138720->138721->138812->138814->138816->138818->138820->138822->138824->138837->138842->138847->138892->138891->138900->138899->138902->138904->138905->138907->138906->138940->138939->138953->138996->139080->139079->139098->139218->139219->139333->139283->139292->139359->139507->139508->139534->139533->139535->139536->200474->200547->200459->200460->200589->200590->214835->200591->200592->198812->200628->200629->200621->200627->214838->201293->201294->201300->214897->201489->201490->201606->201607->201608->201609->201612->201613->201615->201627->201628->201800->209733->209734->209735->209744->209753->209754->209869->209855->209874->202171->202172->209949->209950->209951->209952->209957->213875->213878->213891->213894->213939->213942->213912->194968->194969->214712->214713->214223->214221->214220->162590->162582->162581->161325->161313->161312->161348->161315->161316->210504->210503->196645->196646->205335->210509->198809->196815->210542->199718->213822->214400->211927->199739->199712->198810->198596->198595->214458->214457->214459->214528->214266->214265->212039->212041->212043->214272->164148->164147->164149->164166->164491->161364->161365->161357->161373->161368->164543->164541->164580->164578->164579->161410->161403->161404->164589->160146->160147->164867->164866->164914->164941->164940->164911->164910->164950->164973->164974->164969->164968->164971->164972->165738->165736->165744->165745->169705->169723->169724->169729->169731->169786->169821->169769->169763->169762->169823->169775->169844->169849->169854->169839->169838->169953->169952
NY,0001,300,169952,balanced,original,True,689486,949413,1056,2342,406,300->298->210->211->212->213->214->266->267->269->282->280->286->1596->1604->1605->1606->1608->1602->1600->1601->1626->1627->1625->1628->1634->1815->1816->1818->1831->1832->1844->1845->67->1765->1846->1824->1797->1787->1775->1761->5526->5514->5510->5507->5484->5487->5486->5629->5612->5611->4147->5616->5596->5592->5581->5579->5578->5538->5537->5536->260611->260610->260604->260605->260607->260601->257182->257185->257179->257226->257224->257213->257211->257212->257191->257189->257190->256721->256722->256723->256720->256740->256731->256730->256732->256733->256729->256700->256701->256802->256798->256781->256780->256773->256483->256479->256476->256436->256435->256431->256261->256258->256247->256241->256215->256213->255665->255674->255673->255666->255647->255618->255617->255616->255612->255611->255591->255590->255817->255713->255712->255717->255710->255731->255693->255694->255762->254750->254278->261438->254280->254279->254269->254268->254520->254516->254360->254359->254363->254337->254391->253216->253211->253209->253202->253204->253203->253223->253224->253181->253182->253185->253176->253733->253730->253635->253636->253653->253642->253641->253644->253647->253646->253649->253648->253686->253685->253700->134147->134146->137186->134138->134135->134134->134133->134123->134127->134126->138703->138704->138705->138706->138740->138739->139573->138742->132601->138741->138715->138714->138717->138716->138718->134132->134131->138719->138720->138721->138812->138814->138816->138817->138819->138821->138823->138352->138351->138825->138841->139568->139570->139569->138938->138937->138942->138940->138939->138953->138996->139080->139079->139098->139218->139219->139333->139283->139292->139359->139507->139508->139534->139533->139535->139536->200474->200547->200459->200460->200589->200590->214835->200591->200592->198812->200628->200629->200621->200627->214838->201293->201294->201300->214897->201489->201490->201606->201607->201608->201609->201612->201613->201615->201627->201628->201800->209733->209734->209735->209744->209753->209754->209869->205427->205428->209890->209891->198934->198935->202260->209895->205558->205559->213876->213877->213880->213881->213888->213907->213908->213910->213911->213912->194968->194969->214712->214713->214223->214221->214220->162590->162582->162581->161325->161313->161312->161348->161315->161316->210504->210503->196645->196646->205335->210509->198809->196815->210542->199718->213822->214400->211927->199739->199712->198810->198596->198595->214458->214457->214459->214528->214266->214265->212039->212041->212043->214272->164148->164150->164484->164483->164485->164492->164491->161364->161365->161357->161373->161368->161369->164531->161393->161394->161395->164581->164534->161411->161410->161403->161404->164589->160146->160147->164867->164866->164914->164941->164940->164911->164910->164950->164973->164974->164969->165703->165730->165733->165734->165754->165753->165752->165751->165759->165765->165767->165770->165772->165771->165810->169723->169724->169729->169731->169786->169821->169769->169763->169762->169823->169775->169844->169849->169854->169839->169838->169953->169952
NY,0001,300,169952,balanced,disrupted,True,693540,990756,1044,2282,397,300->298->210->211->212->213->214->266->267->269->282->280->286->1596->1604->1605->1606->1608->1602->1600->1601->1626->1627->1625->1628->1634->1815->1816->1818->1831->1832->1844->1845->67->1765->1846->1824->1797->1787->1775->1761->5526->5514->5510->5507->5484->5487->5486->5629->5612->5611->4147->5616->5596->5592->5581->5579->5578->5538->5537->5536->260611->260610->260604->260605->260607->260608->257268->257181->257229->257230->257228->257232->257214->257222->257220->257218->257215->257216->257246->257201->257202->257200->257195->257197->257196->256747->256746->256735->256733->256729->256700->256701->256802->256798->256781->256780->256773->256483->256479->256476->256436->256435->256431->256261->256258->256247->256241->256215->256213->255665->255674->255673->255666->255647->255618->255617->255616->255612->255611->255591->255590->255817->255713->255712->255717->255710->255731->255693->255694->255762->254750->254278->261438->254280->254279->254269->254268->254520->254516->254360->254359->254363->254337->254391->253216->253210->253214->253227->253228->253225->253229->253224->253181->253182->253185->253176->253733->253730->253635->253636->253653->253642->253641->253644->253647->253646->253649->253648->253686->253685->253700->134147->134146->137186->134138->134135->134134->134133->134123->134127->134126->138703->138704->138705->138706->138740->138739->139573->138742->132601->138741->138715->138714->138717->138716->138718->134132->134131->138719->138720->138721->138812->138814->138816->138817->138819->138821->138823->138352->138351->138825->138841->139568->139570->139569->138938->138937->138942->138940->138939->138953->138996->139080->139079->139098->139218->139219->139333->139283->139292->139359->139507->139508->139534->139533->139535->139536->200474->200547->200459->200460->200589->200590->214835->200591->200592->198812->200628->200629->200621->200627->214838->201293->201294->201300->214897->201489->201490->201606->201607->201608->201609->201612->201613->201615->201627->201628->201800->209733->209734->209735->209744->209753->209754->209869->205427->205428->209890->209891->198934->198935->202260->209895->205558->205559->213876->213877->213880->213881->213888->213907->213908->213910->213911->213912->194968->194969->214712->214713->214223->214221->214220->162590->162582->162581->161325->161313->161312->161348->161315->161316->210504->210503->196645->196646->205335->210509->198809->196815->210542->199718->213822->214400->211927->199739->199712->198810->198596->198595->214458->214457->214459->214528->214266->214265->212039->212041->212043->214272->164148->164147->164149->164166->164491->161364->161365->161357->161373->161368->164543->164541->164580->164578->164579->161410->161403->161404->164589->160146->160147->164867->164866->164914->164941->164940->164911->164910->164950->164973->164974->164969->164968->164971->164972->165738->165736->165744->165745->169705->169723->169724->169729->169731->169786->169821->169769->169763->169762->169823->169775->169844->169849->169854->169839->169838->169953->169952
NY,0001,300,169952,time_shortest,original,True,720728,826108,1268,2156,403,300->298->210->209->205->196->202->181->4503->4502->4739->4735->4733->4730->4725->4724->4723->4701->4700->4643->4642->4641->4670->4659->4658->4660->4662->4663->4668->4669->4667->4846->4849->4885->4871->4870->4872->4927->260094->263808->263807->260312->260100->260082->260081->260076->260075->260074->261196->260022->260018->260009->260008->260007->259954->259950->259949->259923->259921->259922->259926->259927->259928->259899->259925->259932->259935->259934->260201->256138->256137->256132->256131->256130->256136->256135->255465->255462->255461->255460->255507->255506->255505->255508->255504->255499->248309->248308->248388->248381->248380->248313->248312->248310->248306->248280->248271->248268->248262->248259->248237->248233->248218->248222->247169->236467->236466->247140->247138->247137->247135->246983->246976->252480->252485->252484->252487->252489->252490->252516->252517->252533->252531->251910->251906->251905->251913->252748->235624->235623->252328->235626->235625->252329->252323->252322->252321->252306->252305->252304->252408->252362->252370->252368->252373->252374->252387->252389->252388->252385->252384->252386->252399->253404->253403->250982->253406->253397->253396->253400->253399->262185->262202->253431->253430->253509->253508->253512->253511->253518->253519->253523->134124->134123->134127->134126->138703->138704->138705->138706->138740->138739->139573->138742->132601->138741->138715->138714->138717->138716->138718->134132->134131->138719->138720->138721->138812->138814->138816->138817->138819->138821->138823->138352->138351->138825->138841->139568->139570->139569->138938->138937->138942->138940->138939->138953->138996->139080->139079->139098->139218->139219->139333->139283->139292->139359->139507->139508->139534->139533->139535->139536->200474->200547->200459->200460->200589->200590->214835->200591->200592->198812->200628->200629->200621->200627->214838->201293->201294->201300->214897->201489->201490->201606->201607->201608->201609->201612->201613->201615->201627->201628->201800->209733->209734->209735->209744->209753->209754->209869->205427->205428->209890->209891->198934->198935->202260->209895->205558->205559->213876->213877->213880->213881->213888->213907->213908->213910->213911->213912->194968->194969->214712->214713->214223->214221->214220->162590->162582->162581->161325->161313->161312->161348->161315->161316->210504->210503->196645->196646->205335->210509->198809->196815->210542->199718->213822->214400->211927->199739->199712->198810->198596->198595->214458->214457->214459->214528->214266->214265->212039->207842->207843->214315->214316->212327->212330->214317->207787->207786->215185->215184->212326->212325->212342->212346->212360->207890->207897->212361->212365->212367->161408->161407->161406->161405->161404->164589->160146->160147->164867->164866->164914->164941->164940->164911->164910->164950->164973->164974->164969->165703->165730->165733->165734->165754->165753->165752->165751->165759->165765->165767->165770->165772->165771->165810->169723->169724->169729->169731->169786->169821->169769->169763->169762->169823->169775->169844->169849->169854->169855->169858->169851->169952
NY,0001,300,169952,time_shortest,disrupted,True,742197,888275,1304,2272,422,300->298->210->209->205->196->202->181->4503->4502->4739->4735->4733->4730->4725->4724->4723->4701->4700->4643->4642->4641->4670->4659->4658->4660->4662->4663->4668->4669->4667->4846->4849->4885->4871->4870->4872->4869->4868->4843->4844->260004->260094->263808->263807->260312->260100->260082->260081->260076->260075->260074->261196->260022->260018->260009->260017->260006->260019->261977->260021->260020->260025->260026->260045->260044->260049->260048->260241->260239->260234->260242->260237->260236->260223->260222->260219->260015->259972->259970->259960->259961->259899->259925->259932->259935->259934->260201->256138->256137->256132->256131->256130->256136->256135->255465->255462->255461->255460->255507->255506->255505->255508->255504->255499->248309->248308->248388->248381->248380->248313->248312->248310->248306->248280->248271->248268->248262->248259->248237->248233->248218->248222->247169->236467->236466->247140->247138->247137->247135->246983->246976->252480->252485->252484->252487->252489->252490->252516->252517->252533->252531->251910->251906->251905->251913->252748->235624->235623->252328->235626->235625->252329->252323->252322->252321->252306->252305->252304->252408->252362->252370->252368->252373->252374->252387->252389->252388->252385->252384->252386->252399->253404->253403->250982->253406->253397->253396->253400->253399->262185->262202->253431->253430->253509->253508->253512->253511->253518->253519->253523->134124->134123->134127->134126->138703->138704->138705->138706->138740->138739->139573->138742->132601->138741->138715->138714->138717->138716->138718->134132->134131->138719->138720->138721->138812->138814->138816->138817->138819->138821->138823->138352->138351->138825->138841->139568->139570->139569->138938->138937->138942->138940->138939->138953->138996->139080->139079->139098->139218->139219->139333->139283->139292->139359->139507->139508->139534->139533->139535->139536->200474->200547->200459->200460->200589->200590->214835->200591->200592->198812->200628->200629->200621->200627->214838->201293->201294->201300->214897->201489->201490->201606->201607->201608->201609->201612->201613->201615->201627->201628->201800->209733->209734->209735->209744->209753->209754->209869->205427->205428->209890->209891->198934->198935->202260->209895->205558->205559->213876->213877->213880->213881->213888->213907->213908->213910->213911->213912->194968->194969->214712->214713->214223->214221->214220->162590->162582->162581->161325->161313->161312->161348->161315->161316->210504->210503->196645->196646->205335->210509->198809->196815->210542->199718->213822->214400->211927->199739->199712->198810->198596->198595->214458->214457->214459->214528->214266->214265->212039->207842->207843->214315->214316->212327->212330->214317->207787->207786->215185->215184->212326->212325->212342->212346->212360->207890->207897->212361->212365->212367->161408->161407->161406->161405->161404->164589->160146->160147->164867->164866->164914->164941->164940->164911->164910->164950->164973->164974->164969->165703->165730->165733->165734->165754->165753->165752->165751->165759->165765->165767->165770->165772->165771->165810->169723->169724->169729->169731->169786->169821->169769->169763->169762->169823->169775->169844->169849->169854->169855->169858->169851->169952
NY,0002,1702,138092,time_priority,original,True,310156,361648,579,1032,182,1702->1708->1709->1706->1710->1757->1758->1759->1760->1761->5526->5514->5510->5507->5484->5487->5486->5629->5612->5611->4147->5616->5596->5592->5581->5579->5578->5538->5537->5536->260611->260610->260609->260603->260602->260601->257182->257185->257179->257226->257224->257213->257211->257212->257191->257189->257190->256721->256722->256723->256720->256740->256731->256730->256732->256733->256729->256700->256701->256802->256798->256781->256780->256773->256483->256479->256476->256436->256435->256431->256261->256258->256247->256241->256215->256213->255665->255674->255673->255666->255647->255618->255617->255616->255612->255611->255591->255590->255817->255713->255712->255717->255710->255731->255693->255694->255762->254750->254278->261438->254280->254279->254269->254268->254520->254516->254360->254359->254363->254337->254391->253216->253211->253209->253202->253204->253203->253223->253224->253181->253182->253185->253176->253733->253730->253635->253636->253653->253642->253641->253644->253647->253646->253649->253648->253686->253685->253700->134147->134146->137186->134138->134135->134134->134133->134123->134127->134126->138703->138704->138705->138706->138740->138739->139573->138742->132601->138741->138715->138714->137408->137414->137413->137412->138300->138299->138278->138284->138281->138279->138271->138274->138275->138273->138272->138270->138095->138096->139684->139575->138091->138093->138092
NY,0002,1702,138092,time_priority,disrupted,True,313148,382835,573,1064,187,1702->1708->1709->1706->1710->1757->1758->1759->1760->1761->5526->5514->5510->5507->5484->5487->5486->5629->5612->5611->4147->5616->5596->5592->5581->5579->5578->5538->5537->5536->260611->260610->260609->260603->260602->260601->257182->257185->257179->257226->257228->257232->257214->257222->257220->257218->257215->257216->257246->257201->257202->257200->257195->257197->257196->256747->256746->256735->256733->256729->256700->256701->256802->256798->256781->256780->256773->256483->256479->256476->256436->256435->256431->256261->256258->256247->256241->256215->256213->255665->255674->255673->255666->255647->255618->255617->255616->255612->255611->255591->255590->255817->255713->255712->255717->255710->255731->255693->255694->255762->254750->254278->261438->254280->254279->254269->254268->254520->254516->254360->254359->254363->254337->254391->253216->253211->253209->253202->253204->253203->253223->253225->253229->253224->253181->253182->253185->253176->253733->253730->253635->253636->253653->253642->253641->253644->253647->253646->253649->253648->253686->253685->253700->134147->134146->137186->134138->134135->134134->134133->134123->134127->134126->138703->138704->138705->138706->138740->138739->139573->138742->132601->138741->138715->138714->137408->137414->137413->137412->138300->138299->138278->138284->138281->138279->138271->138274->138275->138273->138272->138270->138095->138096->139684->139575->138091->138093->138092
