dataset,query_id,source,target,objective,c1,c2,c3,c4,c5,path
NY,0001,300,169952,distance,661623,1228984,1226,3198,512,300->298->210->211->212->213->214->266->267->269->282->280->279->271->278->276->255->274->273->251->252->1549->1552->1556->1553->1547->1555->1569->1568->1571->1581->1582->1583->1584->1688->1579->1679->1677->104->5680->5418->5431->5425->5429->5426->5428->5434->5435->5433->5436->5398->5404->5402->5396->5459->5460->5456->5454->5339->5337->5335->5336->5342->5341->5332->5329->5327->5325->5305->5318->5317->5308->5311->5309->5310->5136->5137->5134->5126->5128->88->89->5122->92->93->260471->260472->260593->260595->260596->260597->260579->260598->260609->260603->260602->260601->257182->257185->257179->257226->257224->257213->257211->257212->257191->257189->257190->256721->256722->256723->256720->256740->256731->256730->256732->256727->256699->256698->256700->256702->256924->256919->256913->256915->256807->256808->256812->256782->256784->256777->256774->256484->256485->256538->259078->256547->256546->256514->256524->256522->256515->256505->256503->256501->256372->256375->256382->256383->256379->256327->256322->256325->256307->256310->256303->256304->256298->257351->255931->255928->255929->255925->255912->255914->255913->255916->255865->255918->255868->255870->255869->255873->255872->255847->255752->255753->255748->255740->255741->255742->255765->255764->255767->254746->254281->254278->261438->254280->254279->254269->254268->254520->254516->254360->254359->254363->254337->254391->253216->253211->253209->253202->253204->253203->253223->253224->253181->253182->253185->253176->253733->253730->253635->253636->253653->253642->253641->253639->253613->253612->253616->253615->253600->253598->253507->253505->253545->253542->253540->253539->253531->253528->253529->253517->253524->253520->253519->253523->134124->134123->134127->134126->138703->138704->138705->138706->138740->138739->139573->138742->132601->138741->138715->138714->138717->138716->138718->134132->134131->138719->138720->138721->138812->138814->138816->138818->138820->138822->138824->138837->138842->138847->138892->138891->138900->138899->138902->138904->138905->138907->138906->138940->138939->138953->138996->139080->139079->139098->139218->139219->139333->139283->139292->139359->139507->139508->139534->139533->139535->139536->200474->200547->200459->200460->194826->194827->200578->200588->200607->198707->198708->200737->200944->200978->200983->200984->200995->200996->201020->201021->201032->201034->201037->201250->201331->201253->201335->201338->201363->201364->201369->201362->201417->201418->201422->201424->201425->201455->201456->201468->201469->201476->201477->201478->201480->201487->208881->208970->208973->208979->208985->209001->209024->209025->209032->209033->209038->209040->209077->209124->209125->209128->209129->209130->209149->209157->209159->209168->209171->209818->209974->209975->209976->209992->209995->210004->210051->210073->210083->210088->210089->210095->210299->210300->210302->210303->210304->210392->210393->210394->210396->210398->210388->210400->210414->210421->210424->210426->210488->210489->210493->210496->210506->210507->198809->196815->210542->199718->213822->214400->211927->163929->163928->163927->163959->163966->163981->163983->163986->163985->163956->163957->163949->163948->164024->164037->164040->164039->164038->164103->164209->164219->164220->164210->164228->164240->164322->164331->172420->164383->164382->164356->164355->164354->164577->164704->164703->164702->164709->164565->164560->164724->164723->164722->164730->164772->164757->164749->164750->164787->164770->164767->164766->164765->164665->164588->160146->160147->164867->164866->164914->164941->164940->164911->164910->164950->164973->164974->164969->165703->165730->165733->165734->165754->165753->165752->165751->165759->165765->165767->165770->165772->165771->165810->169723->169724->169729->169731->169786->169821->169769->169763->169762->169823->169775->169844->169849->169854->169855->169858->169851->169952
NY,0001,300,169952,travel_time,720728,826108,1268,2156,403,300->298->210->209->205->196->202->181->4503->4502->4739->4735->4733->4730->4725->4724->4723->4701->4700->4643->4642->4641->4670->4659->4658->4660->4662->4663->4668->4669->4667->4846->4849->4885->4871->4870->4872->4927->260094->263808->263807->260312->260100->260082->260081->260076->260075->260074->261196->260022->260018->260009->260008->260007->259954->259950->259949->259923->259921->259922->259926->259927->259928->259899->259925->259932->259935->259934->260201->256138->256137->256132->256131->256130->256136->256135->255465->255462->255461->255460->255507->255506->255505->255508->255504->255499->248309->248308->248388->248381->248380->248313->248312->248310->248306->248280->248271->248268->248262->248259->248237->248233->248218->248222->247169->236467->236466->247140->247138->247137->247135->246983->246976->252480->252485->252484->252487->252489->252490->252516->252517->252533->252531->251910->251906->251905->251913->252748->235624->235623->252328->235626->235625->252329->252323->252322->252321->252306->252305->252304->252408->252362->252370->252368->252373->252374->252387->252389->252388->252385->252384->252386->252399->253404->253403->250982->253406->253397->253396->253400->253399->262185->262202->253431->253430->253509->253508->253512->253511->253518->253519->253523->134124->134123->134127->134126->138703->138704->138705->138706->138740->138739->139573->138742->132601->138741->138715->138714->138717->138716->138718->134132->134131->138719->138720->138721->138812->138814->138816->138817->138819->138821->138823->138352->138351->138825->138841->139568->139570->139569->138938->138937->138942->138940->138939->138953->138996->139080->139079->139098->139218->139219->139333->139283->139292->139359->139507->139508->139534->139533->139535->139536->200474->200547->200459->200460->200589->200590->214835->200591->200592->198812->200628->200629->200621->200627->214838->201293->201294->201300->214897->201489->201490->201606->201607->201608->201609->201612->201613->201615->201627->201628->201800->209733->209734->209735->209744->209753->209754->209869->205427->205428->209890->209891->198934->198935->202260->209895->205558->205559->213876->213877->213880->213881->213888->213907->213908->213910->213911->213912->194968->194969->214712->214713->214223->214221->214220->162590->162582->162581->161325->161313->161312->161348->161315->161316->210504->210503->196645->196646->205335->210509->198809->196815->210542->199718->213822->214400->211927->199739->199712->198810->198596->198595->214458->214457->214459->214528->214266->214265->212039->207842->207843->214315->214316->212327->212330->214317->207787->207786->215185->215184->212326->212325->212342->212346->212360->207890->207897->212361->212365->212367->161408->161407->161406->161405->161404->164589->160146->160147->164867->164866->164914->164941->164940->164911->164910->164950->164973->164974->164969->165703->165730->165733->165734->165754->165753->165752->165751->165759->165765->165767->165770->165772->165771->165810->169723->169724->169729->169731->169786->169821->169769->169763->169762->169823->169775->169844->169849->169854->169855->169858->169851->169952
NY,0001,300,169952,elevation,810969,1700591,912,3780,566,300->298->210->211->212->213->214->266->267->269->282->280->286->1596->1604->1605->1606->1608->1602->1600->1601->1626->1627->1625->1628->1634->1815->1816->1818->1831->1832->1844->1845->67->1765->1846->1824->1797->1787->1775->1761->1760->5523->5483->5479->5482->5484->5487->5486->5629->5612->5611->4147->5616->5596->5592->5586->5541->5579->5578->5538->5537->5536->260611->260610->260604->260605->260607->260601->257182->257181->257229->257230->257275->257243->257281->257283->257259->257256->257261->257328->257325->257308->257304->257002->257303->257012->257001->257008->257006->257010->257005->257003->256953->256951->256952->256960->256959->256958->256957->256806->256820->256816->256817->256791->256779->256777->256774->256484->256485->256538->259078->256547->256546->256525->256523->256516->256518->256520->256531->256506->256530->256396->256398->256395->256385->255365->256386->256330->256328->256322->256325->256307->256305->256296->256301->256299->255679->255680->255928->255929->255925->255912->255914->255913->255916->255865->255864->255863->255845->255843->255840->255842->255844->255841->255837->255747->255749->255737->255748->255740->255741->255742->255765->255764->255763->254746->254281->254278->261438->254280->254279->254269->254268->254520->254516->254360->254359->254363->254337->254391->253216->253211->253209->253202->253204->253203->253223->253222->253221->253197->253142->253196->253138->253135->253121->253151->253119->253143->253144->252983->252958->252960->252957->252966->252968->252969->252920->252918->252902->252913->252900->252894->252472->252471->252467->252465->252454->252466->252455->252452->252445->252444->252446->253409->253408->253410->253412->253413->253415->253400->253399->262185->262202->253431->253430->253509->253508->253510->253381->253380->253379->134103->134101->134100->134104->134088->134086->134070->134071->134069->134077->134068->133908->139606->133910->133913->134047->134042->134040->134041->134045->134043->139548->137311->137310->137316->137315->137383->137402->137408->137414->137413->137412->138300->138299->138278->138284->138281->138279->138271->138270->138095->138355->138367->138371->138395->138378->138377->138376->138405->138622->138621->138623->138626->138625->138627->138628->138629->138678->138677->138683->138684->138691->199272->199617->199627->199677->199682->199683->214973->199728->199729->199731->199740->199756->199764->199845->199788->199862->199863->199864->199865->199866->199867->199871->199888->199890->199891->199945->200271->200280->200284->200285->200666->200667->200671->200683->200685->200687->200693->200676->200694->200677->200699->200701->200704->200710->200714->200718->200794->200796->200421->200422->200800->200802->200818->200815->200821->200826->200828->200832->200847->200848->200845->200849->200883->200890->200891->200895->200911->200914->206093->206095->206277->206284->206289->206308->206310->206319->206315->206313->206314->206317->206425->206427->206228->206225->206226->206227->206232->206236->206237->206431->206433->206244->206457->206262->206261->206266->206467->206797->206800->206803->206804->206812->206813->206816->206836->206838->206839->206843->206844->206845->206876->206880->206896->206981->206984->209271->209273->209276->209277->209278->209280->209301->209302->209304->209307->209341->209359->209374->209375->209530->209555->209556->209560->209563->209571->209587->209592->209593->210868->210869->210873->210874->209665->209670->210889->210892->211588->211590->211593->211616->211632->211633->211642->211645->211647->211649->211703->211705->211708->211711->211723->211724->211727->211801->211803->211867->211864->211866->211868->211879->211881->211885->211943->211946->211948->211952->211993->211994->211998->211997->212000->212017->212018->212020->212027->212028->212029->212039->212041->212043->214272->164148->164147->164149->164166->164489->164504->164505->164506->164509->164518->164519->161373->161368->164543->164541->164580->164578->164592->164594->164586->161410->161403->161404->164589->160146->160147->164867->164862->164861->164860->164859->164913->164914->164915->164939->164937->164942->164944->164951->164964->164962->164966->164967->164978->164977->164976->164975->169698->165743->165742->165740->165746->165745->169705->169723->169724->169729->169731->169786->169821->169769->169763->169762->169823->169775->169844->169849->169854->169839->169838->169953->169952
NY,0001,300,169952,avg_degree,729633,923268,1230,2080,373,300->298->210->209->205->196->202->181->4503->4502->4739->4735->4733->4730->4725->4724->4723->4701->4700->4643->4642->4641->4670->4659->4658->4660->4662->4663->4668->4669->4667->4846->4849->4885->4871->4870->4872->4927->260094->263808->263807->260312->260100->260082->260081->260076->260075->260074->261196->260022->260018->260009->260008->260007->259954->259950->259949->259923->259921->259922->259926->259927->259928->259899->259925->259932->259935->259934->260201->256138->256137->256134->256130->256136->256135->255465->255462->255463->255464->255452->255537->255540->255503->255542->255553->255554->255634->255633->255665->255674->255673->255666->255647->255618->255617->255616->255612->255611->255591->255590->255817->255713->255712->255717->255710->255731->255693->255694->255762->254750->254278->261438->254280->254279->254269->254268->254520->254516->254360->254359->254363->254337->254391->253216->253210->253214->253227->253203->253223->253224->253181->253182->253185->253176->253733->253730->253635->253636->253653->253642->253641->253644->253647->253646->253649->253648->253686->253685->253700->134147->134146->137186->134138->134135->134134->134133->134123->134127->134126->138703->138704->138705->138706->138740->138739->139573->138742->132601->138741->138715->138714->138717->138716->138718->134132->134131->138719->138720->138721->138812->138814->138816->138817->138819->138821->138823->138352->138351->138825->138841->139568->139570->139569->138938->138937->138942->138940->138939->138953->138996->139080->139079->139098->139218->139219->139333->139283->139292->139359->139507->139508->139534->139533->139535->139536->200474->200547->200459->200460->200589->200590->214835->200591->200592->198812->200628->200629->200621->200627->214838->201293->201294->201300->214897->201489->201490->201606->201607->201608->201609->201612->201613->201615->201627->201628->201800->209733->209734->209735->209744->209753->209754->209869->209855->209874->202171->202172->209949->209950->209951->209952->209957->213875->213879->213891->213894->213939->213942->213912->194968->194969->214712->214713->214223->214221->214220->162590->162582->162581->161325->161313->161312->161314->161315->161316->210504->210503->196645->196646->205335->210509->198809->196815->210542->199718->213822->214400->211927->199739->199712->198810->198596->198595->214458->214457->214459->214528->214266->214265->212039->207842->207843->214315->214316->212327->212330->214317->207787->207786->215185->215184->212326->212325->212342->212345->207897->212361->212365->212367->161408->161407->161406->161405->161404->164589->160146->160147->164867->164866->164914->164941->164940->164911->164910->164950->164973->164974->164969->164968->164971->164972->165738->165736->165744->165745->169705->169723->169724->169729->169731->169786->169821->169769->169763->169762->169823->169775->169844->169849->169854->169855->169858->169851->169952
NY,0001,300,169952,hop_count,734345,991109,1228,2116,369,300->298->210->209->205->196->202->181->4503->4502->4739->4735->4733->4730->4725->4724->4723->4701->4700->4643->4642->4641->4670->4659->4658->4660->4662->4663->4668->4669->4667->4846->4849->4885->4871->4870->4872->4927->260094->263808->263807->260312->260100->260082->260081->260076->260075->260074->261196->260022->260018->260009->260008->260007->259954->259950->259949->259923->259921->259922->259926->259927->259928->259899->259925->259932->259935->259934->260201->256138->256137->256134->256130->256136->256135->255465->255462->255463->255464->255452->255537->255540->255503->255542->255553->255554->255634->255633->255665->255674->255673->255666->255647->255618->255617->255616->255612->255611->255591->255590->255817->255713->255712->255717->255710->255731->255693->255694->255762->254750->254278->261438->254280->254279->254269->254268->254520->254516->254360->254359->254363->254337->254391->253216->253210->253214->253227->253203->253223->253224->253181->253182->253185->253176->253733->253730->253635->253636->253653->253642->253641->253644->253647->253646->253649->253648->253686->253685->253700->134147->134146->137186->134138->134135->134134->134133->134123->134127->134126->138703->138704->138705->138706->138740->138739->139573->138742->132601->138741->138715->138714->138717->138716->138718->134132->134131->138719->138720->138721->138812->138814->138816->138817->138819->138821->138823->138352->138351->138825->138841->139568->139570->139569->138938->138937->138942->138940->138939->138953->138996->139080->139079->139098->139218->139219->139333->139283->139292->139359->139507->139508->139534->139533->139535->139536->200474->200547->200459->200460->200589->200590->214835->200591->200592->198812->200628->200629->200621->200627->214838->201293->201294->201300->214897->201489->201490->201606->201607->201608->201609->201612->201613->201615->201627->201628->201800->209733->209734->209735->209744->209753->209754->209869->209855->209874->202171->202172->209949->209950->209951->209952->209957->213875->213878->213891->213894->213939->213942->213912->194968->194969->214712->214713->214223->214221->214220->162590->162582->162581->161325->161313->161312->161314->161315->161316->210504->210503->210502->210496->210506->210507->198809->196815->210542->199718->213822->214400->211927->199739->214260->212005->212002->212003->211999->212000->212017->212019->211990->211988->211987->212307->212309->212310->212312->212162->212163->212164->212169->212157->212339->212345->207897->212361->212365->212367->161408->161407->161406->161405->161404->164589->160146->160147->164867->164866->164914->164941->164940->164911->164910->164950->164973->164974->164969->164968->164971->164972->165738->165736->165744->165745->169705->169723->169724->169729->169731->169786->169821->169769->169763->169762->169823->169775->169844->169849->169854->169855->169858->169851->169952
NY,0002,1702,138092,distance,295997,494273,671,1474,237,1702->1699->5446->5444->5447->5439->5437->5436->5398->5404->5402->5396->5459->5460->5456->5454->5339->5337->5335->5336->5342->5341->5332->5329->5327->5325->5305->5318->5317->5308->5311->5309->5310->5136->5137->5134->5126->5128->88->89->5122->92->93->260471->260472->260593->260595->260596->260597->260579->260598->260609->260603->260602->260601->257182->257185->257179->257226->257224->257213->257211->257212->257191->257189->257190->256721->256722->256723->256720->256740->256731->256730->256732->256727->256699->256698->256700->256702->256924->256919->256913->256915->256807->256808->256812->256782->256784->256777->256774->256484->256485->256538->259078->256547->256546->256514->256524->256522->256515->256505->256503->256501->256372->256375->256382->256383->256379->256327->256322->256325->256307->256310->256303->256304->256298->257351->255931->255928->255929->255925->255912->255914->255913->255916->255865->255918->255868->255870->255869->255873->255872->255847->255752->255753->255748->255740->255741->255742->255765->255764->255767->254746->254281->254278->261438->254280->254279->254269->254268->254520->254516->254360->254359->254363->254337->254391->253216->253211->253209->253202->253204->253203->253223->253224->253181->253182->253185->253176->253733->253730->253635->253636->253653->253642->253641->253639->253613->253612->253616->253615->253600->253598->253507->253505->253545->253542->253540->253539->253531->253528->253529->253517->253524->253520->253519->253523->134124->134123->134127->134126->138703->138704->138705->138706->138740->138739->139573->138742->132601->138741->138715->138714->137408->137414->137551->137406->137411->137410->137398->137400->137394->137393->138268->138266->137277->138062->138064->138066->138068->138067->138069->138085->138087->138089->138091->138093->138092
NY,0002,1702,138092,travel_time,306768,349406,613,1184,205,1702->1699->5446->5444->5447->5439->5435->5433->5436->5398->5404->5402->5396->5459->5460->5456->5454->5339->5337->5335->5336->5342->5341->5332->5329->5327->5325->5305->5318->5317->5308->5311->5309->5310->5136->5137->5134->5126->5128->88->89->5122->92->93->260471->260472->260593->260595->260596->260597->260579->260598->260609->260603->260602->260601->257182->257185->257179->257226->257224->257213->257211->257212->257191->257189->257190->256721->256722->256723->256720->256740->256731->256730->256732->256733->256729->256700->256701->256802->256798->256781->256780->256773->256483->256479->256476->256436->256435->256431->256261->256258->256247->256241->256215->256213->255665->255674->255673->255666->255647->255618->255617->255616->255612->255611->255591->255590->255817->255713->255712->255717->255710->255731->255693->255694->255762->254750->254278->261438->254280->254279->254269->254268->254520->254516->254360->254359->254363->254337->254391->253216->253211->253209->253202->253204->253203->253223->253224->253181->253182->253185->253176->253733->253730->253635->253636->253653->253642->253641->253644->253647->253646->253649->253648->253686->253685->253700->134147->134146->137186->134138->134135->134134->134133->134123->134127->134126->138703->138704->138705->138706->138740->138739->139573->138742->132601->138741->138715->138714->137408->137414->137413->137412->138300->138299->138278->138284->138281->138279->138271->138274->138275->138273->138272->138270->138095->138096->138354->138225->138224->138221->138218->138094->138093->138092
NY,0002,1702,138092,elevation,364795,730230,527,1606,256,1702->1699->1704->1705->1707->1756->5517->1758->1759->1760->5523->5483->5479->5482->5484->5487->5486->5629->5612->5611->4147->5616->5596->5592->5586->5541->5579->5578->5538->5537->5536->260611->260610->260604->260605->260607->260601->257182->257181->257229->257230->257275->257243->257281->257283->257259->257256->257261->257328->257325->257308->257304->257002->257303->257012->257001->257008->257006->257010->257005->257003->256953->256951->256952->256960->256959->256958->256957->256806->256820->256816->256817->256791->256779->256777->256774->256484->256485->256538->259078->256547->256546->256525->256523->256516->256518->256520->256531->256506->256530->256396->256398->256395->256385->255365->256386->256330->256328->256322->256325->256307->256305->256296->256301->256299->255679->255680->255928->255929->255925->255912->255914->255913->255916->255865->255864->255863->255845->255843->255840->255842->255844->255841->255837->255747->255749->255737->255748->255740->255741->255742->255765->255764->255763->254746->254281->254278->261438->254280->254279->254269->254268->254520->254516->254360->254359->254363->254337->254391->253216->253211->253209->253202->253204->253203->253223->253222->253221->253197->253142->253196->253138->253135->253121->253151->253119->253143->253144->252983->252958->252960->252957->252966->252968->252969->252920->252918->252902->252913->252900->252894->252472->252471->252467->252465->252454->252466->252455->252452->252445->252444->252446->253409->253408->253410->253412->253413->253415->253400->253399->262185->262202->253431->253430->253509->253508->253510->253381->253380->253379->134103->134101->134100->134104->134088->134086->134070->134071->134069->134077->134068->133908->139606->133910->133913->134047->134042->134040->134041->134045->134043->139548->137311->137310->137316->137315->137383->137402->137408->137414->137413->137412->138300->138299->138278->138284->138281->138279->138271->138270->138095->138096->139684->139575->138091->138093->138092
NY,0002,1702,138092,avg_degree,315306,422693,559,992,173,1702->1708->1709->1706->1710->1757->1758->5521->5518->5481->5479->5482->5484->5487->5486->5629->5612->5611->4147->5616->5596->5597->5586->5541->5539->5538->5537->5536->260611->260610->260609->260603->260602->260599->260560->260559->260555->260561->257177->257175->257191->257189->257190->256721->256722->256723->256720->256740->256731->256730->256732->256733->256729->256700->256701->256802->256798->256781->256780->256773->256483->256479->256476->256436->256435->256431->256261->256258->256247->256241->256215->256213->255665->255674->255673->255666->255647->255618->255617->255616->255612->255611->255591->255590->255817->255713->255712->255717->255710->255731->255693->255694->255762->254750->254278->261438->254280->254279->254269->254268->254520->254516->254360->254359->254363->254337->254391->253216->253210->253214->253227->253203->253223->253224->253181->253182->253185->253176->253733->253730->253635->253636->253653->253642->253641->253644->253647->253646->253649->253648->253686->253685->253700->134147->134146->137186->134138->134135->134134->134133->134123->134127->134126->138703->138704->138705->138706->138740->138739->139573->138742->132601->138741->138715->138714->137408->137414->137413->137412->138300->138299->138278->138284->138281->138279->138271->138270->138095->138096->139684->139575->138091->138093->138092
NY,0002,1702,138092,hop_count,326295,465621,583,1016,173,1702->1708->1709->1706->1710->1757->1758->5521->5518->5481->5479->5482->5484->5487->5486->5629->5612->5611->4147->5616->5596->5592->5586->5541->5539->5538->5537->5536->260611->260610->260604->260603->260602->260601->257182->260564->257180->257178->257177->257175->257191->257189->257190->256706->256707->249084->256666->256667->256663->256669->256691->256695->256698->256700->256701->256802->256798->256781->256780->256773->256483->256479->256476->256436->256435->256431->256261->256258->256247->256241->256215->256213->255665->255674->255673->255666->255647->255618->255617->255616->255612->255611->255591->255590->255817->255713->255712->255717->255710->255731->255693->255694->255762->254750->254278->261438->254280->254279->254269->254268->254520->254516->254360->254359->254363->254337->254391->253216->253210->253214->253227->253203->253223->253224->253181->253182->253185->253176->253733->253730->253635->253636->253653->253642->253641->253644->253647->253646->253649->253648->253686->253685->253700->134147->134146->137186->134138->134135->134134->134133->134123->134127->134126->138703->138704->138705->138706->138740->138739->139573->138742->132601->138741->138715->138714->137408->137414->137413->137412->138276->138277->138278->138284->138281->138279->138271->138270->138095->138096->139684->139575->138091->138093->138092
