dataset,query_id,source,target,status,solutions,search_seconds,expanded,generated,peak_open,process_peak_rss_mb
NY,0001,138960,221847,complete,53926,126.773,85216157,290956755,1479740,158
NY,0002,138969,221847,complete,53917,155.577,85630019,292305889,1481029,161
NY,0003,138970,221847,complete,57526,166.135,90596318,309427890,1799699,171
NY,0004,138967,221846,complete,53926,160.674,85842280,293021395,1479996,160
NY,0005,138967,221864,complete,53926,165.133,86366795,294798960,1479817,160
NY,0006,138967,221879,complete,53926,150.801,85531488,291991192,1480372,160
NY,0007,138960,221846,complete,53926,156.276,85270081,291118527,1479743,159
NY,0008,138960,221864,complete,53926,157.411,85794596,292896092,1479564,160
NY,0009,138960,221879,complete,53926,201.751,84959289,290088324,1480119,164
NY,0010,138969,221846,complete,53917,206.722,85683934,292467634,1481032,164
NY,0011,138969,221864,complete,53917,207.045,86208449,294245199,1480853,164
NY,0012,138969,221879,complete,53917,206.634,85373160,291437485,1481408,164
NY,0013,138970,221846,complete,57526,195.088,90653842,309600462,1799699,166
NY,0014,138970,221864,complete,57526,219.741,91178963,311383315,1798569,167
NY,0015,138970,221879,complete,57526,222.674,90335726,308547611,1801810,167
NY,0016,138897,221847,complete,53926,213.122,85205320,290921534,1479737,164
NY,0017,138968,221847,complete,54949,220.816,88551442,302166027,1529344,164
NY,0018,138971,221847,complete,56768,205.805,89012495,304017520,1771728,165
NY,0019,138967,221835,complete,53926,209.25,86710568,295934148,1479698,164
NY,0020,138967,221865,complete,53926,196.82,85969574,293511510,1479728,164
NY,0021,138967,221852,complete,53926,201.915,85473625,291763952,1480369,164
NY,0022,138967,221880,complete,53926,198.657,85650352,292377980,1480361,164
NY,0023,138897,221835,complete,53926,191.946,86127532,293996059,1479442,164
NY,0024,138897,221865,complete,53926,199.89,85386538,291573421,1479472,164
NY,0025,138897,221852,complete,53926,198.128,84890589,289825863,1480113,164
NY,0026,138897,221880,complete,53926,197.245,85067316,290439891,1480105,164
NY,0027,138968,221835,complete,54949,205.478,89484796,305279590,1533458,164
NY,0028,138968,221865,complete,54949,192.753,88735558,302828837,1529042,164
NY,0029,138968,221852,complete,54949,166.66,88231083,301050430,1530029,164
NY,0030,138968,221880,complete,54949,160.787,88410950,301675475,1529829,164
BAY,0001,235512,309186,complete,20128,113.063,62150276,156752986,712831,201
BAY,0002,235513,309186,complete,17877,101.084,56970466,143669696,665193,198
BAY,0003,235515,311604,complete,18805,114.097,59068420,149110478,686813,202
BAY,0004,235514,308945,complete,18805,104.834,59087223,149185690,686813,202
BAY,0005,235513,308951,complete,16076,102.791,57517943,144975978,665820,199
BAY,0006,235516,308871,complete,16200,102.753,57295165,144491847,666738,200
BAY,0007,235516,308869,complete,16866,100.438,57903385,146063483,675060,201
BAY,0008,235513,311604,complete,18805,149.299,59068420,149110478,686813,193
BAY,0009,235517,308868,complete,17624,149.858,58285234,146932722,682472,193
BAY,0010,235514,308867,complete,17371,136.047,58381905,147256290,677933,192
BAY,0011,235513,309187,complete,17877,132.663,56988341,143741196,665217,190
BAY,0012,235515,312052,complete,18805,155.779,59087223,149185690,686814,193
BAY,0013,235517,308951,complete,15701,120.817,57366673,144475499,669611,192
BAY,0014,235513,311499,complete,17535,146.504,57864698,145963839,676578,192
BAY,0015,235515,308946,complete,18805,138.622,59106026,149223296,686813,193
BAY,0016,235513,308871,complete,16334,151.85,57475371,144948000,665593,190
BAY,0017,235516,308868,complete,17746,150.019,58370019,147263866,681409,193
BAY,0018,235515,311602,complete,18993,153.575,59091888,149182199,687461,193
BAY,0019,235516,308867,complete,17246,147.243,58193217,146777998,679173,193
BAY,0020,235513,308868,complete,17854,139.813,58565780,147761900,680217,192
