dataset,query_id,objective_count,method,epsilon,status,certified,paths,reference_kind,reference_size,reference_configurations,empirical_epsilon,load_seconds,preprocess_seconds,search_seconds,total_seconds,peak_rss_mb,expanded,file
BAY,0001,2,NAMOA_dr_goal_epsilon,0.05,epsilon_cover,True,5,exact,76,5,0.049398358725975866,0.645122981,0.342262972,0.00727407,0.996919852,68,1554,BAY_0001_m2_e0.05_95fbb37d8c5ca316.json
BAY,0001,2,NAMOA_dr_goal_epsilon,0.0,exact,True,76,exact,76,5,0.0,0.732469165,0.338012594,0.013973688,1.086243158,68,14180,BAY_0001_m2_e0.0_4a6a2b629c6e12a5.json
BAY,0001,2,NAMOA_dr_goal_epsilon,0.1,epsilon_cover,True,4,exact,76,5,0.0531263127919861,0.720673314,0.343460703,0.005814842,1.071316589,68,0,BAY_0001_m2_e0.1_50adafff5efd19d0.json
BAY,0001,2,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,4,exact,76,5,0.0531263127919861,0.674881,0.422827457,0.008615634,1.108968319,68,0,BAY_0001_m2_e0.2_12f14591795ac117.json
BAY,0001,2,weighted_seeds,0.0,seed_only,False,4,exact,76,5,0.0531263127919861,0.736493219,0.335153905,0,1.07164985,69,0,BAY_0001_m2_seed_c76d1f6827132e76.json
BAY,0001,3,NAMOA_dr_goal_epsilon,0.05,epsilon_cover,True,16,pooled_empirical,17,4,0.006188008626389907,0.770480744,0.594032644,1.266387999,2.644007211,192,1312904,BAY_0001_m3_e0.05_580bdfcef4519e91.json
BAY,0001,3,NAMOA_dr_goal_epsilon,0.1,epsilon_cover,True,11,pooled_empirical,17,4,0.05691173419808493,0.77019319,0.596703251,0.507964978,1.882113625,136,560073,BAY_0001_m3_e0.1_3bf6a1171bf2879e.json
BAY,0001,3,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,10,pooled_empirical,17,4,0.10403397027600847,0.631096702,0.487305078,0.113890357,1.234894059,76,164418,BAY_0001_m3_e0.2_48c1eae2bddd902a.json
BAY,0001,3,weighted_seeds,0.0,seed_only,False,10,pooled_empirical,17,4,0.10403397027600847,0.73667863,0.503977634,0,1.240658905,68,0,BAY_0001_m3_seed_1a05f0241b18938c.json
BAY,0001,5,NAMOA_dr_goal_epsilon,0.05,time_limit,False,20,pooled_empirical,23,4,0.04831932773109249,0.755474598,0.746540329,30.00206005,31.533084,591,4969921,BAY_0001_m5_e0.05_5225a7a53f4b0411.json
BAY,0001,5,NAMOA_dr_goal_epsilon,0.1,epsilon_cover,True,13,pooled_empirical,23,4,0.08703703703703702,0.646966405,0.641346682,15.50643632,16.81737155,359,3740837,BAY_0001_m5_e0.1_2259f324356b6d1b.json
BAY,0001,5,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,9,pooled_empirical,23,4,0.13669064748201443,0.803511704,0.855791546,2.519198609,4.18677157,136,797823,BAY_0001_m5_e0.2_e5713c6692b9a18e.json
BAY,0001,5,weighted_seeds,0.0,seed_only,False,9,pooled_empirical,23,4,0.13669064748201443,0.735325642,0.616283161,0,1.351611292,68,0,BAY_0001_m5_seed_fccfcd82c5894ebe.json
BAY,0002,2,NAMOA_dr_goal_epsilon,0.0,exact,True,34,exact,34,2,0.0,0.752282975,0.349122179,0.011820394,1.115011531,69,13019,BAY_0002_m2_e0.0_b03fa3d17aa75575.json
BAY,0002,2,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,4,exact,34,2,0.010978743931887358,0.642247724,0.300034281,0.006436042,0.950317008,68,0,BAY_0002_m2_e0.2_2dfb09b5fd79ef64.json
BAY,0002,3,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,8,unavailable_single_config,8,1,,0.617962039,0.408410488,0.005557467,1.033482715,68,119,BAY_0002_m3_e0.2_70ea448b933168d3.json
BAY,0002,5,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.795094084,0.7860359,0.014059342,1.597613012,68,13746,BAY_0002_m5_e0.2_d550798e592a0f23.json
BAY,0003,2,NAMOA_dr_goal_epsilon,0.0,exact,True,30,exact,30,2,0.0,0.725987547,0.505061196,0.008925131,1.241196774,68,12610,BAY_0003_m2_e0.0_db688730c302eac3.json
BAY,0003,2,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,4,exact,30,2,0.011242938356530674,0.617821528,0.476551745,0.006216043,1.102039259,68,0,BAY_0003_m2_e0.2_d79c5945a02fed69.json
BAY,0003,3,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,9,unavailable_single_config,9,1,,0.632877899,0.563736855,1.276377702,2.483542972,192,1332157,BAY_0003_m3_e0.2_0e6d9ba93d7bc5fa.json
BAY,0003,5,NAMOA_dr_goal_epsilon,0.2,time_limit,False,10,unavailable_single_config,10,1,,0.630306326,0.686760122,30.00637973,31.3637488,565,5279785,BAY_0003_m5_e0.2_4d3c2a4684f9d04f.json
BAY,0004,2,NAMOA_dr_goal_epsilon,0.0,exact,True,497,exact,497,2,0.0,0.731047999,1.026967376,0.591951778,2.353352212,136,502549,BAY_0004_m2_e0.0_bef93c35b1e032df.json
BAY,0004,2,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,7,exact,497,2,0.05534999723759082,0.751683421,1.064099986,0.006173279,1.823633456,68,0,BAY_0004_m2_e0.2_3ad8b90f2f04203e.json
BAY,0004,3,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,12,unavailable_single_config,12,1,,0.60664757,0.959088821,0.005920556,1.573025992,68,2122,BAY_0004_m3_e0.2_67cdc9477d0272ac.json
BAY,0004,5,NAMOA_dr_goal_epsilon,0.2,time_limit,False,13,unavailable_single_config,13,1,,0.787785124,1.422392421,30.0000796,32.24150016,560,4650076,BAY_0004_m5_e0.2_510e0cef27f3c971.json
BAY,0005,2,NAMOA_dr_goal_epsilon,0.0,exact,True,126,exact,126,2,0.0,0.757827794,1.380358736,0.243356045,2.386142941,100,308455,BAY_0005_m2_e0.0_25811c99ac5b9422.json
BAY,0005,2,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,4,exact,126,2,0.021855765912971004,0.625494552,1.029726914,0.005558572,1.662091253,68,0,BAY_0005_m2_e0.2_21773ea972444385.json
BAY,0005,3,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.625275369,1.060604791,2.060208537,3.757665006,192,1880744,BAY_0005_m3_e0.2_17ec2ca2ca70e908.json
BAY,0005,5,NAMOA_dr_goal_epsilon,0.2,time_limit,False,11,unavailable_single_config,11,1,,0.608096353,1.03293943,30.00509319,31.67378658,532,3992755,BAY_0005_m5_e0.2_dab1de039f02a051.json
BAY,0006,2,NAMOA_dr_goal_epsilon,0.0,exact,True,23,exact,23,2,0.0,0.729742077,0.416259386,0.007138467,1.154292191,69,5277,BAY_0006_m2_e0.0_9393405941bab017.json
