dataset,query_id,objective_count,method,epsilon,status,certified,paths,reference_kind,reference_size,reference_configurations,empirical_epsilon,load_seconds,preprocess_seconds,search_seconds,total_seconds,peak_rss_mb,expanded,labels,merged,file
BAY,0001,2,NAMOA_dr_goal_epsilon,0.0,exact,True,76,exact,76,2,0.0,0.758538065,0.393595934,0.015395724,1.17014272,69,14180,16286,0,BAY_0001_m2_e0.0_02ed5961c4ab0ae5.json
BAY,0001,2,apex_open_merge,0.2,epsilon_cover,True,4,exact,76,2,0.0531263127919861,0.751755241,0.365355666,0.010895778,1.130839564,68,0,1,0,BAY_0001_m2_e0.2_4cd783a92e7be00c.json
BAY,0001,3,apex_open_merge,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.715385148,0.459209547,0.022865604,1.201392902,70,28784,28784,5321,BAY_0001_m3_e0.2_fda3a60cff85467a.json
BAY,0001,5,apex_open_merge,0.2,epsilon_cover,True,9,unavailable_single_config,9,1,,0.741867831,0.678191647,0.038752992,1.463618278,71,40538,40538,8094,BAY_0001_m5_e0.2_7e81fc4ca6f6e4a5.json
BAY,0002,2,NAMOA_dr_goal_epsilon,0.0,exact,True,34,exact,34,2,0.0,0.752312264,0.355809797,0.011011553,1.120739684,69,13019,15024,0,BAY_0002_m2_e0.0_6f38b7c114d3f0e5.json
BAY,0002,2,apex_open_merge,0.2,epsilon_cover,True,4,exact,34,2,0.010978743931887358,0.727576147,0.315809449,0.010429255,1.056593281,68,0,1,0,BAY_0002_m2_e0.2_74a7a6b094f67e1b.json
BAY,0002,3,apex_open_merge,0.2,epsilon_cover,True,8,unavailable_single_config,8,1,,0.731742832,0.432038225,0.010362264,1.177365091,69,119,119,11,BAY_0002_m3_e0.2_be8a7896f702041c.json
BAY,0002,5,apex_open_merge,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.616989927,0.528104159,0.010199048,1.157840436,68,4051,4051,570,BAY_0002_m5_e0.2_c91e239f4467f9aa.json
BAY,0003,2,NAMOA_dr_goal_epsilon,0.0,exact,True,30,exact,30,2,0.0,0.737409421,0.492897818,0.008799723,1.240707345,68,12610,13837,0,BAY_0003_m2_e0.0_ec93624ad6fb04e1.json
BAY,0003,2,apex_open_merge,0.2,epsilon_cover,True,4,exact,30,2,0.011242938356530674,0.718876924,0.525982839,0.00928573,1.256369053,69,0,1,0,BAY_0003_m2_e0.2_0ae50596de38f532.json
BAY,0003,3,apex_open_merge,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.7497548,0.661209723,0.15427647,1.575746373,105,160061,160921,39784,BAY_0003_m3_e0.2_6900efadbbbbe6f6.json
BAY,0003,5,apex_open_merge,0.2,epsilon_cover,True,12,unavailable_single_config,12,1,,0.752626954,0.804256612,0.306442006,1.877306895,144,265938,267686,77991,BAY_0003_m5_e0.2_d897b875733d9a35.json
