dataset,query_id,scheme,original_feasible,disrupted_feasible,original_path_blocked,surviving_candidates,path_changed,original_scalar,original_optimal_scalar,disrupted_optimal_scalar,surviving_best_scalar,original_score,original_optimal_score,disrupted_score,original_candidate_gap,intrinsic_closure_relative_loss,recommendation_relative_change,gain_over_surviving_candidate,scalar_seconds,reference_seconds,replan_seconds,expanded,original_c1,disrupted_c1,delta_c1,relative_c1,original_c2,disrupted_c2,delta_c2,relative_c2,original_c3,disrupted_c3,delta_c3,relative_c3,original_c4,disrupted_c4,delta_c4,relative_c4,original_c5,disrupted_c5,delta_c5,relative_c5
BAY,0001,time_priority,True,True,True,25,True,1807996407397136280,1807519555898317580,1847484838650971460,1935149526067523370,0.07798190999862485,0.07780333151404857,0.09277012861400903,0.0002638154023078937,0.02211056728113327,0.02184098988929093,0.04745082913945017,0.043245614,0.082040132,0.00463184,495,373526,373630,104,0.0002784277399699084,466042,491203,25161,0.05398869629775857,1410,1412,2,0.0014184397163120568,1098,1092,-6,-0.00546448087431694,204,202,-2,-0.00980392156862745
BAY,0001,stable_priority,True,True,False,25,False,2440239668701863450,2440239668701863450,2440239668701863450,2440239668701863450,0.14751956768124114,0.14751956768124114,0.14751956768124114,0.0,0.0,0.0,0.0,0.038886473,0.076681597,0.001491112,0,357082,357082,0,0.0,774395,774395,0,0.0,1088,1088,0,0.0,1140,1140,0,0.0,202,202,0,0.0
BAY,0001,balanced,True,True,False,25,False,2285948246945364120,2285948246945364120,2285948246945364120,2285948246945364120,0.13211874661535505,0.13211874661535505,0.13211874661535505,0.0,0.0,0.0,0.0,0.038207607,0.074234309,0.000964579,0,357082,357082,0,0.0,774395,774395,0,0.0,1088,1088,0,0.0,1140,1140,0,0.0,202,202,0,0.0
BAY,0001,time_shortest,True,True,True,25,True,1266371953487902800,1266371953487902800,1332381389514688800,1467343130976374400,0.0,0.0,0.024720201325990166,0.0,0.05212484045069035,0.05212484045069035,0.10129362547674471,0.038131043,0.081322632,0.001230468,1049,375766,375223,-543,-0.0014450482481118568,463023,487158,24135,0.05212484045069035,1468,1436,-32,-0.021798365122615803,1080,1100,20,0.018518518518518517,200,205,5,0.025
BAY,0002,time_priority,True,True,True,8,True,441109205574232240,439770946084762100,450008884253401380,485471826016121460,0.15209681534399358,0.14686305140505082,0.18690233527918582,0.0030430829989669256,0.023280160410292326,0.020175681139058554,0.07880498142065744,0.043210856,0.076370311,0.003921665,881,378161,382730,4569,0.012082155484039866,500959,528036,27077,0.05405033146425157,413,423,10,0.024213075060532687,1104,1098,-6,-0.005434782608695652,194,188,-6,-0.030927835051546393
BAY,0002,stable_priority,True,True,True,8,True,556354678363758970,554326516155024640,555862087560620860,569901415375601585,0.20457361101340127,0.19664172462371235,0.20264715056054855,0.0036587862020425665,0.0027701568675577797,-0.0008853898822003641,0.02525685440536477,0.039032155,0.073765377,0.00152705,267,386983,386742,-241,-0.000622766374750312,634286,657058,22772,0.035901785629826294,349,349,0,0.0,1164,1156,-8,-0.006872852233676976,191,188,-3,-0.015706806282722512
BAY,0002,balanced,True,True,True,8,True,647981461973469980,645774373417332580,647899416070423960,671245696883100620,0.22441028735811605,0.2157786426090557,0.2240894161877048,0.003417739456674082,0.003290689040269593,-0.00012661767019714397,0.036033804373947785,0.038143541,0.070876884,0.000965861,255,378161,383953,5792,0.015316227744267653,500959,608814,107855,0.21529706023846262,413,385,-28,-0.06779661016949153,1104,1096,-8,-0.007246376811594203,194,183,-11,-0.05670103092783505
BAY,0002,time_shortest,True,True,True,8,True,213836560934629500,213836560934629500,230468745442950000,276230982377920500,0.0,0.0,0.06504637418260018,0.0,0.07777989150042967,0.07777989150042967,0.19856157435585312,0.038031317,0.078398706,0.001323249,1913,381658,411685,30027,0.07867514895534745,457329,492900,35571,0.07777989150042967,487,533,46,0.0944558521560575,1136,1160,24,0.02112676056338028,204,224,20,0.09803921568627451
BAY,0003,time_priority,True,True,True,7,True,2143119562004215220210,2134873457440807918530,2286058806727725399270,2444504336764094813030,0.18873153175962062,0.18406904586314843,0.26955177936273583,0.003862572994510114,0.07081700733126908,0.06669681302793737,0.06930947251666243,0.04267351,0.071169457,0.006229837,10850,1386564,1453445,66881,0.048235061634371,1899787,1898575,-1212,-0.0006379662562171443,984,1106,122,0.12398373983739837,1879,2109,230,0.12240553485896753,366,410,44,0.12021857923497267
BAY,0003,stable_priority,True,True,True,7,True,2862550304178336988245,2811052942336038194155,2855032341075675555595,2909659539138142079545,0.24930522441457514,0.2201877518614461,0.24505444191881284,0.018319598705068683,0.015645169138326386,-0.002626316502346805,0.01913365298057707,0.037607123,0.067200501,0.000848085,733,1617321,1801904,184583,0.11412885877324291,3078235,3670655,592420,0.19245444223719113,766,706,-60,-0.0783289817232376,1791,1721,-70,-0.03908431044109436,340,325,-15,-0.04411764705882353
BAY,0003,balanced,True,True,True,7,True,3041336377234844956420,3031233430581797929500,3103489595552617046580,3212751184818456502060,0.25694154933632746,0.25122917376305687,0.2920840219546021,0.0033329490731790735,0.023837215650181938,0.020436153916746698,0.03520604335919612,0.037405961,0.071417897,0.001634235,2000,1386564,1622803,236239,0.17037727793307775,1899787,3154562,1254775,0.6604819382383393,984,774,-210,-0.21341463414634146,1879,1779,-100,-0.05321979776476849,366,332,-34,-0.09289617486338798
BAY,0003,time_shortest,True,True,True,7,True,1031747569436866932000,1031747569436866932000,1114012102687150212000,1676257488709733124000,0.0,0.0,0.04651374756529024,0.0,0.0797331980100362,0.0797331980100362,0.5047031218658844,0.038374664,0.078603848,0.005006368,15494,1361853,1396285,34432,0.02528319870059397,1574501,1700041,125540,0.0797331980100362,1242,1426,184,0.14814814814814814,2307,2785,478,0.2071954919809276,452,525,73,0.16150442477876106
BAY,0004,time_priority,True,True,True,18,True,3188666377126926447200,3177613327258106033600,3502666498634495556960,4105642187754779210800,0.17215616571756873,0.16878167728065666,0.26802018440848935,0.0034784124846171426,0.10229475329425021,0.09847380828548505,0.1721476164959901,0.042743718,0.074775405,0.008452802,14952,1125005,1200031,75026,0.06668948138008275,1620801,1844843,224042,0.1382291842120038,1462,1512,50,0.03419972640218878,2408,2578,170,0.07059800664451828,456,483,27,0.05921052631578947
BAY,0004,stable_priority,True,True,True,18,True,3217082706292116203870,3207044737649440713960,3264854301402298471310,4115422092814015053990,0.22098474410818908,0.21792015926357103,0.23556937886740592,0.003129974622690384,0.018025805213814534,0.014849352494652504,0.26052243466006625,0.03849252,0.071787829,0.001304744,1397,1187611,1183031,-4580,-0.003856481625717512,1920706,2189916,269210,0.14016200293017256,1332,1550,218,0.16366366366366367,2166,2048,-118,-0.05447830101569714,415,376,-39,-0.09397590361445783
BAY,0004,balanced,True,True,True,18,True,3807359412514383531600,3743869126285605001400,3820380631608152396040,4520613067245592003640,0.23742884512455872,0.218045304900098,0.24140421425687145,0.016958468388495455,0.020436479679634675,0.003420013106976323,0.18328865711547793,0.038617015,0.072685423,0.001926451,2516,1187611,1173478,-14133,-0.011900361313595108,1920706,2166835,246129,0.12814506749080806,1332,1568,236,0.17717717717717718,2166,2060,-106,-0.048938134810710986,415,379,-36,-0.08674698795180723
BAY,0004,time_shortest,True,True,True,18,True,2219879238164684148800,2219879238164684148800,2479384142379255040000,3689992335629775044800,0.0,0.0,0.07922666675596023,0.0,0.11690046005796251,0.11690046005796251,0.48826971688574317,0.038937747,0.079054763,0.008200305,22643,1340137,1356966,16829,0.012557671342556769,1416778,1582400,165622,0.11690046005796251,2496,2552,56,0.022435897435897436,3228,3594,366,0.11338289962825279,602,657,55,0.09136212624584718
BAY,0005,time_priority,True,True,True,72,True,226365038273355265830,223356406819468508030,238993049319783486810,263284516038229269670,0.17252533715124116,0.15761358416618068,0.23511385432362075,0.013470092471171126,0.07000758439382289,0.05578604868822018,0.10164089201582889,0.042544586,0.080458458,0.012385115,27355,1506940,1536180,29240,0.019403559531235483,1948409,2065345,116936,0.060016146507227176,1841,2033,192,0.10429114611624117,2860,3086,226,0.07902097902097902,525,562,37,0.07047619047619047
BAY,0005,stable_priority,True,True,True,72,True,239134413265771083305,237158631857016458715,237158631857016458715,242377446691525889555,0.24003787425826362,0.23024526098163173,0.23024526098163173,0.008331054169454934,0.0,-0.008262221157432349,0.022005586698003333,0.038249855,0.079931152,0.001374572,427,1495626,1548641,53015,0.03544669589857358,2184249,2721458,537209,0.24594677621461655,1931,1753,-178,-0.092180217503884,2430,2338,-92,-0.03786008230452675,462,426,-36,-0.07792207792207792
BAY,0005,balanced,True,True,True,72,True,277018659981503018060,276904624695859588900,279796962998888105500,288942406027336411340,0.21589740239646016,0.2153322065467329,0.22966757296998563,0.0004118215279671863,0.010445250982013534,0.010029299172736593,0.032685998198217214,0.038924943,0.076111109,0.001514821,1868,1495626,1535265,39639,0.02650328357490442,2184249,2454396,270147,0.12367958048738949,1931,1829,-102,-0.05282237182806836,2430,2364,-66,-0.027160493827160494,462,439,-23,-0.049783549783549784
BAY,0005,time_shortest,True,True,True,72,True,149653139136782736000,149653139136782736000,174082828020941112000,237626626049122128000,0.0,0.0,0.12108145903740823,0.0,0.16324207447349084,0.16324207447349084,0.36502048335598664,0.038489833,0.086061779,0.014537915,47916,1494166,1549339,55173,0.036925616029276534,1712126,1991617,279491,0.16324207447349084,2525,2285,-240,-0.09504950495049505,3408,3652,244,0.0715962441314554,631,664,33,0.05229793977812995
BAY,0006,time_priority,True,True,True,1,True,37516971459690499890,37499578977770569230,43575202727213278650,56622671769381406950,0.12450987325702115,0.12389495469208847,0.33870120570776263,0.00046380472512080136,0.16201845234167261,0.16147975254431043,0.2994241730519779,0.042230149,0.074614666,0.00619073,8873,483428,509408,25980,0.05374119827564808,545009,706717,161708,0.29670702685643724,594,658,64,0.10774410774410774,1331,1501,170,0.1277235161532682,274,297,23,0.08394160583941605
BAY,0006,stable_priority,True,True,True,1,True,42343909838075875365,42343909838075875365,48796946327533163175,55959673828139202855,0.11860889712138696,0.11860889712138696,0.34675873541491403,0.0,0.15239585843947462,0.15239585843947462,0.14678638807700445,0.037882088,0.068793327,0.00260724,7654,479785,539693,59908,0.12486426211740675,713244,972039,258795,0.3628421690192977,438,604,166,0.3789954337899543,1211,1385,174,0.14368290668868702,242,260,18,0.0743801652892562
BAY,0006,balanced,True,True,True,1,True,50292506377223733260,50286659526122224260,57393127013656259900,63286514147518866700,0.14059135161856248,0.14038463372141205,0.39163680171518944,0.00011627042155130146,0.14131914019547204,0.14118645396540083,0.10268454500589104,0.037677137,0.067090839,0.002850525,7948,469099,509397,40298,0.08590510745066607,626350,830965,204615,0.32667837471062505,452,590,138,0.3053097345132743,1227,1439,212,0.17277913610431947,251,275,24,0.09561752988047809
BAY,0006,time_shortest,True,True,True,1,True,21674625739277697800,21674625739277697800,27919479413183191200,49958829391243947200,0.0,0.0,0.22078944667305017,0.0,0.2881181778649527,0.2881181778649527,0.7893897179062043,0.037789732,0.079527211,0.00406703,12673,483428,507505,24077,0.049804727901569625,545009,702036,157027,0.2881181778649527,594,660,66,0.1111111111111111,1331,1533,202,0.1517655897821187,274,303,29,0.10583941605839416
BAY,0007,time_priority,True,True,True,19,True,18697211200195712700,18690496530344783040,19060278623027770060,19118508001188587900,0.1945590795113763,0.19422152473799126,0.21281092872486998,0.00035925583036427734,0.019784498078081057,0.019418266122396742,0.0030550119078777646,0.042993758,0.079240344,0.004162698,318,296529,263797,-32732,-0.11038380731732815,348679,423503,74824,0.21459279165077336,886,998,112,0.12641083521444696,1148,984,-164,-0.14285714285714285,200,167,-33,-0.165
