dataset,query_id,family,parameter,w1,w2,w3,w4,w5,c1,c2,c3,c4,c5
BAY,0001,time_share,0.0,0.25,0.0,0.25,0.25,0.25,357082,774395,1088,1140,202
BAY,0001,time_share,0.1,0.225,0.1,0.225,0.225,0.225,357082,774395,1088,1140,202
BAY,0001,time_share,0.2,0.2,0.2,0.2,0.2,0.2,357082,774395,1088,1140,202
BAY,0001,time_share,0.3,0.175,0.3,0.175,0.175,0.175,374365,476471,1394,1082,199
BAY,0001,time_share,0.4,0.15,0.4,0.15,0.15,0.15,374365,476471,1394,1082,199
BAY,0001,time_share,0.5,0.125,0.5,0.125,0.125,0.125,373526,466042,1410,1098,204
BAY,0001,time_share,0.6,0.1,0.6,0.1,0.1,0.1,373526,466042,1410,1098,204
BAY,0001,time_share,0.7,0.075,0.7,0.075,0.075,0.075,373526,466042,1410,1098,204
BAY,0001,time_share,0.8,0.05,0.8,0.05,0.05,0.05,375584,463285,1422,1106,206
BAY,0001,time_share,0.9,0.025,0.9,0.025,0.025,0.025,375584,463285,1422,1106,206
BAY,0001,time_share,1.0,0.0,1.0,0.0,0.0,0.0,375766,463023,1468,1080,200
BAY,0001,stability_share,0.0,0.25,0.375,0.0,0.0,0.375,373708,465780,1456,1072,198
BAY,0001,stability_share,0.1,0.225,0.3375,0.058333333333333334,0.041666666666666664,0.3375,373708,465780,1456,1072,198
BAY,0001,stability_share,0.2,0.2,0.3,0.11666666666666667,0.08333333333333333,0.3,374365,476471,1394,1082,199
BAY,0001,stability_share,0.3,0.175,0.2625,0.175,0.125,0.2625,374365,476471,1394,1082,199
BAY,0001,stability_share,0.4,0.15,0.225,0.23333333333333334,0.16666666666666666,0.225,357082,774395,1088,1140,202
BAY,0001,stability_share,0.5,0.125,0.1875,0.2916666666666667,0.20833333333333334,0.1875,357082,774395,1088,1140,202
BAY,0001,stability_share,0.6,0.1,0.15,0.35,0.25,0.15,357082,774395,1088,1140,202
BAY,0001,stability_share,0.7,0.075,0.1125,0.4083333333333333,0.2916666666666667,0.1125,357082,774395,1088,1140,202
BAY,0001,stability_share,0.8,0.05,0.075,0.4666666666666667,0.3333333333333333,0.075,357082,774395,1088,1140,202
BAY,0001,stability_share,0.9,0.025,0.0375,0.525,0.375,0.0375,361928,878212,1048,1230,210
BAY,0001,stability_share,1.0,0.0,0.0,0.5833333333333334,0.4166666666666667,0.0,361928,878212,1048,1230,210
BAY,0002,time_share,0.0,0.25,0.0,0.25,0.25,0.25,386983,634286,349,1164,191
BAY,0002,time_share,0.1,0.225,0.1,0.225,0.225,0.225,386983,634286,349,1164,191
BAY,0002,time_share,0.2,0.2,0.2,0.2,0.2,0.2,378161,500959,413,1104,194
BAY,0002,time_share,0.3,0.175,0.3,0.175,0.175,0.175,378161,500959,413,1104,194
BAY,0002,time_share,0.4,0.15,0.4,0.15,0.15,0.15,378161,500959,413,1104,194
BAY,0002,time_share,0.5,0.125,0.5,0.125,0.125,0.125,378161,500959,413,1104,194
BAY,0002,time_share,0.6,0.1,0.6,0.1,0.1,0.1,378161,500959,413,1104,194
BAY,0002,time_share,0.7,0.075,0.7,0.075,0.075,0.075,379167,475717,455,1112,198
BAY,0002,time_share,0.8,0.05,0.8,0.05,0.05,0.05,381658,457329,487,1136,204
BAY,0002,time_share,0.9,0.025,0.9,0.025,0.025,0.025,381658,457329,487,1136,204
BAY,0002,time_share,1.0,0.0,1.0,0.0,0.0,0.0,381658,457329,487,1136,204
BAY,0002,stability_share,0.0,0.25,0.375,0.0,0.0,0.375,378161,500959,413,1104,194
BAY,0002,stability_share,0.1,0.225,0.3375,0.058333333333333334,0.041666666666666664,0.3375,378161,500959,413,1104,194
BAY,0002,stability_share,0.2,0.2,0.3,0.11666666666666667,0.08333333333333333,0.3,378161,500959,413,1104,194
BAY,0002,stability_share,0.3,0.175,0.2625,0.175,0.125,0.2625,378161,500959,413,1104,194
BAY,0002,stability_share,0.4,0.15,0.225,0.23333333333333334,0.16666666666666666,0.225,386983,634286,349,1164,191
BAY,0002,stability_share,0.5,0.125,0.1875,0.2916666666666667,0.20833333333333334,0.1875,386983,634286,349,1164,191
BAY,0002,stability_share,0.6,0.1,0.15,0.35,0.25,0.15,386983,634286,349,1164,191
BAY,0002,stability_share,0.7,0.075,0.1125,0.4083333333333333,0.2916666666666667,0.1125,386983,634286,349,1164,191
BAY,0002,stability_share,0.8,0.05,0.075,0.4666666666666667,0.3333333333333333,0.075,386983,634286,349,1164,191
BAY,0002,stability_share,0.9,0.025,0.0375,0.525,0.375,0.0375,386983,634286,349,1164,191
BAY,0002,stability_share,1.0,0.0,0.0,0.5833333333333334,0.4166666666666667,0.0,388210,839383,341,1206,188
BAY,0003,time_share,0.0,0.25,0.0,0.25,0.25,0.25,1617321,3078235,766,1791,340
BAY,0003,time_share,0.1,0.225,0.1,0.225,0.225,0.225,1617321,3078235,766,1791,340
BAY,0003,time_share,0.2,0.2,0.2,0.2,0.2,0.2,1386564,1899787,984,1879,366
BAY,0003,time_share,0.3,0.175,0.3,0.175,0.175,0.175,1386564,1899787,984,1879,366
BAY,0003,time_share,0.4,0.15,0.4,0.15,0.15,0.15,1386564,1899787,984,1879,366
BAY,0003,time_share,0.5,0.125,0.5,0.125,0.125,0.125,1386564,1899787,984,1879,366
BAY,0003,time_share,0.6,0.1,0.6,0.1,0.1,0.1,1386564,1899787,984,1879,366
BAY,0003,time_share,0.7,0.075,0.7,0.075,0.075,0.075,1396388,1762441,1026,1965,388
BAY,0003,time_share,0.8,0.05,0.8,0.05,0.05,0.05,1361891,1574539,1240,2307,452
BAY,0003,time_share,0.9,0.025,0.9,0.025,0.025,0.025,1361891,1574539,1240,2307,452
BAY,0003,time_share,1.0,0.0,1.0,0.0,0.0,0.0,1361853,1574501,1242,2307,452
BAY,0003,stability_share,0.0,0.25,0.375,0.0,0.0,0.375,1386564,1899787,984,1879,366
BAY,0003,stability_share,0.1,0.225,0.3375,0.058333333333333334,0.041666666666666664,0.3375,1386564,1899787,984,1879,366
BAY,0003,stability_share,0.2,0.2,0.3,0.11666666666666667,0.08333333333333333,0.3,1386564,1899787,984,1879,366
BAY,0003,stability_share,0.3,0.175,0.2625,0.175,0.125,0.2625,1386564,1899787,984,1879,366
BAY,0003,stability_share,0.4,0.15,0.225,0.23333333333333334,0.16666666666666666,0.225,1386564,1899787,984,1879,366
BAY,0003,stability_share,0.5,0.125,0.1875,0.2916666666666667,0.20833333333333334,0.1875,1617321,3078235,766,1791,340
BAY,0003,stability_share,0.6,0.1,0.15,0.35,0.25,0.15,1617321,3078235,766,1791,340
BAY,0003,stability_share,0.7,0.075,0.1125,0.4083333333333333,0.2916666666666667,0.1125,1617321,3078235,766,1791,340
BAY,0003,stability_share,0.8,0.05,0.075,0.4666666666666667,0.3333333333333333,0.075,1875450,4169206,768,1627,313
BAY,0003,stability_share,0.9,0.025,0.0375,0.525,0.375,0.0375,1875450,4169206,768,1627,313
BAY,0003,stability_share,1.0,0.0,0.0,0.5833333333333334,0.4166666666666667,0.0,1875450,4169206,768,1627,313
BAY,0004,time_share,0.0,0.25,0.0,0.25,0.25,0.25,1087961,2257398,1666,2270,402
BAY,0004,time_share,0.1,0.225,0.1,0.225,0.225,0.225,1187611,1920706,1332,2166,415
BAY,0004,time_share,0.2,0.2,0.2,0.2,0.2,0.2,1187611,1920706,1332,2166,415
BAY,0004,time_share,0.3,0.175,0.3,0.175,0.175,0.175,1125005,1620801,1462,2408,456
BAY,0004,time_share,0.4,0.15,0.4,0.15,0.15,0.15,1125005,1620801,1462,2408,456
BAY,0004,time_share,0.5,0.125,0.5,0.125,0.125,0.125,1125005,1620801,1462,2408,456
BAY,0004,time_share,0.6,0.1,0.6,0.1,0.1,0.1,1125005,1620801,1462,2408,456
BAY,0004,time_share,0.7,0.075,0.7,0.075,0.075,0.075,1126780,1615260,1480,2418,458
BAY,0004,time_share,0.8,0.05,0.8,0.05,0.05,0.05,1126780,1615260,1480,2418,458
BAY,0004,time_share,0.9,0.025,0.9,0.025,0.025,0.025,1337139,1417553,2490,3208,599
BAY,0004,time_share,1.0,0.0,1.0,0.0,0.0,0.0,1340137,1416778,2496,3228,602
BAY,0004,stability_share,0.0,0.25,0.375,0.0,0.0,0.375,1098464,1759487,1648,2314,428
BAY,0004,stability_share,0.1,0.225,0.3375,0.058333333333333334,0.041666666666666664,0.3375,1098464,1759487,1648,2314,428
BAY,0004,stability_share,0.2,0.2,0.3,0.11666666666666667,0.08333333333333333,0.3,1098464,1759487,1648,2314,428
BAY,0004,stability_share,0.3,0.175,0.2625,0.175,0.125,0.2625,1098464,1759487,1648,2314,428
BAY,0004,stability_share,0.4,0.15,0.225,0.23333333333333334,0.16666666666666666,0.225,1187611,1920706,1332,2166,415
BAY,0004,stability_share,0.5,0.125,0.1875,0.2916666666666667,0.20833333333333334,0.1875,1187611,1920706,1332,2166,415
BAY,0004,stability_share,0.6,0.1,0.15,0.35,0.25,0.15,1187611,1920706,1332,2166,415
BAY,0004,stability_share,0.7,0.075,0.1125,0.4083333333333333,0.2916666666666667,0.1125,1187611,1920706,1332,2166,415
BAY,0004,stability_share,0.8,0.05,0.075,0.4666666666666667,0.3333333333333333,0.075,1187611,1920706,1332,2166,415
BAY,0004,stability_share,0.9,0.025,0.0375,0.525,0.375,0.0375,1187611,1920706,1332,2166,415
BAY,0004,stability_share,1.0,0.0,0.0,0.5833333333333334,0.4166666666666667,0.0,1187611,1920706,1332,2166,415
BAY,0005,time_share,0.0,0.25,0.0,0.25,0.25,0.25,1495626,2184249,1931,2430,462
BAY,0005,time_share,0.1,0.225,0.1,0.225,0.225,0.225,1495626,2184249,1931,2430,462
BAY,0005,time_share,0.2,0.2,0.2,0.2,0.2,0.2,1495626,2184249,1931,2430,462
BAY,0005,time_share,0.3,0.175,0.3,0.175,0.175,0.175,1495626,2184249,1931,2430,462
BAY,0005,time_share,0.4,0.15,0.4,0.15,0.15,0.15,1506940,1948409,1841,2860,525
BAY,0005,time_share,0.5,0.125,0.5,0.125,0.125,0.125,1506940,1948409,1841,2860,525
BAY,0005,time_share,0.6,0.1,0.6,0.1,0.1,0.1,1506940,1948409,1841,2860,525
BAY,0005,time_share,0.7,0.075,0.7,0.075,0.075,0.075,1508067,1727901,2207,3360,623
BAY,0005,time_share,0.8,0.05,0.8,0.05,0.05,0.05,1508067,1727901,2207,3360,623
BAY,0005,time_share,0.9,0.025,0.9,0.025,0.025,0.025,1494166,1712126,2525,3408,631
BAY,0005,time_share,1.0,0.0,1.0,0.0,0.0,0.0,1494166,1712126,2525,3408,631
BAY,0005,stability_share,0.0,0.25,0.375,0.0,0.0,0.375,1495626,2184249,1931,2430,462
BAY,0005,stability_share,0.1,0.225,0.3375,0.058333333333333334,0.041666666666666664,0.3375,1495626,2184249,1931,2430,462
BAY,0005,stability_share,0.2,0.2,0.3,0.11666666666666667,0.08333333333333333,0.3,1495626,2184249,1931,2430,462
BAY,0005,stability_share,0.3,0.175,0.2625,0.175,0.125,0.2625,1495626,2184249,1931,2430,462
BAY,0005,stability_share,0.4,0.15,0.225,0.23333333333333334,0.16666666666666666,0.225,1495626,2184249,1931,2430,462
BAY,0005,stability_share,0.5,0.125,0.1875,0.2916666666666667,0.20833333333333334,0.1875,1495626,2184249,1931,2430,462
BAY,0005,stability_share,0.6,0.1,0.15,0.35,0.25,0.15,1495626,2184249,1931,2430,462
BAY,0005,stability_share,0.7,0.075,0.1125,0.4083333333333333,0.2916666666666667,0.1125,1591889,2759706,1761,2434,443
BAY,0005,stability_share,0.8,0.05,0.075,0.4666666666666667,0.3333333333333333,0.075,1701195,3189695,1675,2320,420
BAY,0005,stability_share,0.9,0.025,0.0375,0.525,0.375,0.0375,1767630,3775920,1399,2762,489
BAY,0005,stability_share,1.0,0.0,0.0,0.5833333333333334,0.4166666666666667,0.0,1767630,3775920,1399,2762,489
BAY,0006,time_share,0.0,0.25,0.0,0.25,0.25,0.25,479785,713244,438,1211,242
BAY,0006,time_share,0.1,0.225,0.1,0.225,0.225,0.225,479785,713244,438,1211,242
BAY,0006,time_share,0.2,0.2,0.2,0.2,0.2,0.2,469099,626350,452,1227,251
BAY,0006,time_share,0.3,0.175,0.3,0.175,0.175,0.175,469099,626350,452,1227,251
BAY,0006,time_share,0.4,0.15,0.4,0.15,0.15,0.15,469099,626350,452,1227,251
BAY,0006,time_share,0.5,0.125,0.5,0.125,0.125,0.125,469099,626350,452,1227,251
BAY,0006,time_share,0.6,0.1,0.6,0.1,0.1,0.1,483428,545009,594,1331,274
BAY,0006,time_share,0.7,0.075,0.7,0.075,0.075,0.075,483428,545009,594,1331,274
BAY,0006,time_share,0.8,0.05,0.8,0.05,0.05,0.05,483428,545009,594,1331,274
BAY,0006,time_share,0.9,0.025,0.9,0.025,0.025,0.025,483428,545009,594,1331,274
BAY,0006,time_share,1.0,0.0,1.0,0.0,0.0,0.0,483428,545009,594,1331,274
BAY,0006,stability_share,0.0,0.25,0.375,0.0,0.0,0.375,469099,626350,452,1227,251
BAY,0006,stability_share,0.1,0.225,0.3375,0.058333333333333334,0.041666666666666664,0.3375,469099,626350,452,1227,251
BAY,0006,stability_share,0.2,0.2,0.3,0.11666666666666667,0.08333333333333333,0.3,469099,626350,452,1227,251
BAY,0006,stability_share,0.3,0.175,0.2625,0.175,0.125,0.2625,469099,626350,452,1227,251
BAY,0006,stability_share,0.4,0.15,0.225,0.23333333333333334,0.16666666666666666,0.225,479785,713244,438,1211,242
BAY,0006,stability_share,0.5,0.125,0.1875,0.2916666666666667,0.20833333333333334,0.1875,479785,713244,438,1211,242
BAY,0006,stability_share,0.6,0.1,0.15,0.35,0.25,0.15,479785,713244,438,1211,242
BAY,0006,stability_share,0.7,0.075,0.1125,0.4083333333333333,0.2916666666666667,0.1125,479785,713244,438,1211,242
BAY,0006,stability_share,0.8,0.05,0.075,0.4666666666666667,0.3333333333333333,0.075,479785,713244,438,1211,242
BAY,0006,stability_share,0.9,0.025,0.0375,0.525,0.375,0.0375,479785,713244,438,1211,242
BAY,0006,stability_share,1.0,0.0,0.0,0.5833333333333334,0.4166666666666667,0.0,479785,713244,438,1211,242
BAY,0007,time_share,0.0,0.25,0.0,0.25,0.25,0.25,275962,493856,854,956,152
BAY,0007,time_share,0.1,0.225,0.1,0.225,0.225,0.225,275962,493856,854,956,152
BAY,0007,time_share,0.2,0.2,0.2,0.2,0.2,0.2,275962,493856,854,956,152
BAY,0007,time_share,0.3,0.175,0.3,0.175,0.175,0.175,260219,422396,1102,970,170
BAY,0007,time_share,0.4,0.15,0.4,0.15,0.15,0.15,260219,422396,1102,970,170
BAY,0007,time_share,0.5,0.125,0.5,0.125,0.125,0.125,260219,422396,1102,970,170
BAY,0007,time_share,0.6,0.1,0.6,0.1,0.1,0.1,296529,348679,886,1148,200
BAY,0007,time_share,0.7,0.075,0.7,0.075,0.075,0.075,296529,348679,886,1148,200
BAY,0007,time_share,0.8,0.05,0.8,0.05,0.05,0.05,296529,348679,886,1148,200
BAY,0007,time_share,0.9,0.025,0.9,0.025,0.025,0.025,296583,347451,894,1176,205
BAY,0007,time_share,1.0,0.0,1.0,0.0,0.0,0.0,296583,347451,894,1176,205
BAY,0007,stability_share,0.0,0.25,0.375,0.0,0.0,0.375,260219,422396,1102,970,170
BAY,0007,stability_share,0.1,0.225,0.3375,0.058333333333333334,0.041666666666666664,0.3375,260219,422396,1102,970,170
BAY,0007,stability_share,0.2,0.2,0.3,0.11666666666666667,0.08333333333333333,0.3,260219,422396,1102,970,170
BAY,0007,stability_share,0.3,0.175,0.2625,0.175,0.125,0.2625,275962,493856,854,956,152
BAY,0007,stability_share,0.4,0.15,0.225,0.23333333333333334,0.16666666666666666,0.225,275962,493856,854,956,152
BAY,0007,stability_share,0.5,0.125,0.1875,0.2916666666666667,0.20833333333333334,0.1875,275962,493856,854,956,152
BAY,0007,stability_share,0.6,0.1,0.15,0.35,0.25,0.15,275962,493856,854,956,152
BAY,0007,stability_share,0.7,0.075,0.1125,0.4083333333333333,0.2916666666666667,0.1125,275962,493856,854,956,152
BAY,0007,stability_share,0.8,0.05,0.075,0.4666666666666667,0.3333333333333333,0.075,275962,493856,854,956,152
BAY,0007,stability_share,0.9,0.025,0.0375,0.525,0.375,0.0375,275962,493856,854,956,152
BAY,0007,stability_share,1.0,0.0,0.0,0.5833333333333334,0.4166666666666667,0.0,275962,493856,854,956,152
BAY,0008,time_share,0.0,0.25,0.0,0.25,0.25,0.25,574041,1435113,374,679,120
BAY,0008,time_share,0.1,0.225,0.1,0.225,0.225,0.225,452577,1131446,372,775,133
BAY,0008,time_share,0.2,0.2,0.2,0.2,0.2,0.2,452577,1131446,372,775,133
BAY,0008,time_share,0.3,0.175,0.3,0.175,0.175,0.175,355133,490198,454,827,162
BAY,0008,time_share,0.4,0.15,0.4,0.15,0.15,0.15,355133,490198,454,827,162
BAY,0008,time_share,0.5,0.125,0.5,0.125,0.125,0.125,355133,490198,454,827,162
BAY,0008,time_share,0.6,0.1,0.6,0.1,0.1,0.1,355133,490198,454,827,162
BAY,0008,time_share,0.7,0.075,0.7,0.075,0.075,0.075,356879,469929,452,851,167
BAY,0008,time_share,0.8,0.05,0.8,0.05,0.05,0.05,356879,469929,452,851,167
BAY,0008,time_share,0.9,0.025,0.9,0.025,0.025,0.025,356879,469929,452,851,167
BAY,0008,time_share,1.0,0.0,1.0,0.0,0.0,0.0,356879,469929,452,851,167
BAY,0008,stability_share,0.0,0.25,0.375,0.0,0.0,0.375,348308,602995,456,873,156
BAY,0008,stability_share,0.1,0.225,0.3375,0.058333333333333334,0.041666666666666664,0.3375,355133,490198,454,827,162
BAY,0008,stability_share,0.2,0.2,0.3,0.11666666666666667,0.08333333333333333,0.3,355133,490198,454,827,162
BAY,0008,stability_share,0.3,0.175,0.2625,0.175,0.125,0.2625,452577,1131446,372,775,133
BAY,0008,stability_share,0.4,0.15,0.225,0.23333333333333334,0.16666666666666666,0.225,452577,1131446,372,775,133
BAY,0008,stability_share,0.5,0.125,0.1875,0.2916666666666667,0.20833333333333334,0.1875,452577,1131446,372,775,133
BAY,0008,stability_share,0.6,0.1,0.15,0.35,0.25,0.15,574041,1435113,374,679,120
BAY,0008,stability_share,0.7,0.075,0.1125,0.4083333333333333,0.2916666666666667,0.1125,574041,1435113,374,679,120
BAY,0008,stability_share,0.8,0.05,0.075,0.4666666666666667,0.3333333333333333,0.075,574041,1435113,374,679,120
