dataset,query_id,family,distinct_costs,switches
BAY,0001,time_share,5,4
BAY,0001,stability_share,4,3
BAY,0002,time_share,4,3
BAY,0002,stability_share,3,2
BAY,0003,time_share,5,4
BAY,0003,stability_share,3,2
BAY,0004,time_share,6,5
BAY,0004,stability_share,2,1
BAY,0005,time_share,4,3
BAY,0005,stability_share,4,3
BAY,0006,time_share,3,2
BAY,0006,stability_share,2,1
BAY,0007,time_share,4,3
BAY,0007,stability_share,2,1
BAY,0008,time_share,4,3
BAY,0008,stability_share,4,3
BAY,0009,time_share,6,5
BAY,0009,stability_share,2,1
BAY,0010,time_share,5,4
BAY,0010,stability_share,2,1
BAY,0011,time_share,4,3
BAY,0011,stability_share,3,2
BAY,0012,time_share,4,3
BAY,0012,stability_share,4,3
BAY,0013,time_share,6,5
BAY,0013,stability_share,3,2
BAY,0014,time_share,4,3
BAY,0014,stability_share,5,4
BAY,0015,time_share,3,2
BAY,0015,stability_share,2,1
BAY,0016,time_share,4,3
BAY,0016,stability_share,4,3
BAY,0017,time_share,4,3
BAY,0017,stability_share,1,0
BAY,0018,time_share,3,2
BAY,0018,stability_share,4,3
BAY,0019,time_share,4,3
BAY,0019,stability_share,3,2
BAY,0020,time_share,4,3
BAY,0020,stability_share,2,1
BAY,0021,time_share,6,5
BAY,0021,stability_share,3,2
BAY,0022,time_share,5,4
BAY,0022,stability_share,3,2
BAY,0023,time_share,4,3
BAY,0023,stability_share,1,0
BAY,0024,time_share,4,3
BAY,0024,stability_share,2,1
BAY,0025,time_share,6,5
BAY,0025,stability_share,3,2
BAY,0026,time_share,3,2
BAY,0026,stability_share,3,2
BAY,0027,time_share,4,3
BAY,0027,stability_share,3,2
BAY,0028,time_share,5,4
BAY,0028,stability_share,3,2
BAY,0029,time_share,4,3
BAY,0029,stability_share,4,3
BAY,0030,time_share,7,6
BAY,0030,stability_share,3,2
COL,0001,time_share,5,4
COL,0001,stability_share,2,1
COL,0002,time_share,4,3
COL,0002,stability_share,3,2
COL,0003,time_share,6,5
COL,0003,stability_share,3,2
COL,0004,time_share,5,4
COL,0004,stability_share,3,2
COL,0005,time_share,7,6
COL,0005,stability_share,3,2
COL,0006,time_share,4,3
COL,0006,stability_share,3,2
COL,0007,time_share,5,4
COL,0007,stability_share,3,2
COL,0008,time_share,9,8
COL,0008,stability_share,4,3
COL,0009,time_share,2,1
COL,0009,stability_share,1,0
COL,0010,time_share,6,5
COL,0010,stability_share,3,2
COL,0011,time_share,7,6
COL,0011,stability_share,1,0
COL,0012,time_share,4,3
COL,0012,stability_share,3,2
COL,0013,time_share,4,3
COL,0013,stability_share,4,3
COL,0014,time_share,6,5
COL,0014,stability_share,3,2
COL,0015,time_share,4,3
COL,0015,stability_share,5,4
COL,0016,time_share,4,3
COL,0016,stability_share,4,3
COL,0017,time_share,7,6
COL,0017,stability_share,5,4
COL,0018,time_share,4,3
COL,0018,stability_share,2,1
COL,0019,time_share,4,3
COL,0019,stability_share,3,2
COL,0020,time_share,6,5
COL,0020,stability_share,3,2
COL,0021,time_share,3,2
COL,0021,stability_share,1,0
COL,0022,time_share,9,8
COL,0022,stability_share,3,2
COL,0023,time_share,4,3
COL,0023,stability_share,1,0
COL,0024,time_share,3,2
COL,0024,stability_share,1,0
COL,0025,time_share,5,4
COL,0025,stability_share,3,2
COL,0026,time_share,5,4
COL,0026,stability_share,3,2
COL,0027,time_share,6,5
COL,0027,stability_share,1,0
COL,0028,time_share,5,4
COL,0028,stability_share,3,2
COL,0029,time_share,5,4
COL,0029,stability_share,2,1
COL,0030,time_share,6,5
COL,0030,stability_share,2,1
NY,0001,time_share,4,3
NY,0001,stability_share,4,3
NY,0002,time_share,5,4
NY,0002,stability_share,4,3
NY,0003,time_share,3,2
NY,0003,stability_share,4,3
NY,0004,time_share,3,2
NY,0004,stability_share,2,1
NY,0005,time_share,5,4
NY,0005,stability_share,3,2
NY,0006,time_share,5,4
NY,0006,stability_share,4,3
NY,0007,time_share,5,4
NY,0007,stability_share,5,4
NY,0008,time_share,5,4
NY,0008,stability_share,3,2
NY,0009,time_share,3,2
NY,0009,stability_share,2,1
NY,0010,time_share,5,4
NY,0010,stability_share,2,1
NY,0011,time_share,6,5
NY,0011,stability_share,3,2
NY,0012,time_share,4,3
NY,0012,stability_share,4,3
NY,0013,time_share,4,3
NY,0013,stability_share,4,3
NY,0014,time_share,6,5
NY,0014,stability_share,3,2
NY,0015,time_share,6,5
NY,0015,stability_share,5,4
NY,0016,time_share,4,3
NY,0016,stability_share,2,1
NY,0017,time_share,5,4
NY,0017,stability_share,3,2
NY,0018,time_share,5,4
NY,0018,stability_share,1,0
NY,0019,time_share,4,3
NY,0019,stability_share,2,1
NY,0020,time_share,5,4
NY,0020,stability_share,4,3
NY,0021,time_share,4,3
NY,0021,stability_share,2,1
NY,0022,time_share,6,5
NY,0022,stability_share,4,3
NY,0023,time_share,2,1
NY,0023,stability_share,1,0
NY,0024,time_share,4,3
NY,0024,stability_share,2,1
NY,0025,time_share,4,3
NY,0025,stability_share,2,1
NY,0026,time_share,3,2
NY,0026,stability_share,2,1
NY,0027,time_share,5,4
NY,0027,stability_share,2,1
NY,0028,time_share,6,5
NY,0028,stability_share,3,2
NY,0029,time_share,5,4
NY,0029,stability_share,3,2
NY,0030,time_share,2,1
NY,0030,stability_share,3,2
